queue_id,heading,node,heading_para,why_para,answer_para,before_why_chars,after_why_chars,before_answer_chars,after_answer_chars,evidence_note,old_answer_excerpt
T0365,1. 2025海淀期末 第17题第（2）问（主观题）,认识发展原理,3303,3306,3307,164,156,168,188,矩阵 M1107：2025海淀期末 Q17(2) PPT评标细则第69-70、91-94行明列“认识有反复性或无限性/追求真理是一个过程”。,认识具有反复性和无限性，追求真理是一个永无止境的过程。永动机的多次失败、法国科学院1775年宣布不再审查、各国科学家从不同角度提出能量守恒思想——这一“由浅入深、由含糊到清晰”的过程，正是人类认识从相对真理向绝对真理不断接近的过程。纪念那些为永动机奋斗而失败的人，就是承认他们的探索构成了能量守恒定律这一真理被发现过程中必不可少的环节。
T0348,1. 2025西城一模 第16题（主观题）,认识对实践的反作用,3149,3152,3153,159,140,168,195,矩阵 M0180/M0214：2025西城一模 Q16 正式评分细则给哲学3分，明确“以知导行、亲身实践、在实践基础上不断发展知促进行”。,正确的认识对实践具有指导作用：行前准备阶段诵读《诗经》、观看纪录片，确立文化溯源、学科融合、实践创新的研学目标，使学生先形成对《诗经》文化和研学任务的正确认识；这种正确认识在实地研学和持续行动阶段指导学生有目的、有意识地寻植物、对比水文、设计课程和旅游线路，使整个实践活动避免盲目、更具效率，所以从“行前准备”走到“持续行动”是必要的。
T0285,1. 2026东城一模 第16题（主观题）,矛盾的主要方面和次要方面 / 两点论与重点论,2625,2628,2629,121,135,139,195,矩阵 M0219：2026东城一模 Q16 正式PPT评分细则明确哲学核心考点含“矛盾的主次方面（情绪需求是次要方面，思想性、艺术性是主要方面）”。,看待优秀文艺要坚持两点论与重点论的统一：思想性、艺术性是矛盾的主要方面，体现为“家国之情”“烈士豪情”“劳动者之歌”等时代恢弘深沉情感；情绪需求是矛盾的次要方面。题目观点把次要方面的“满足大众情绪需求”当作判定优秀与否的本质，是以次要方面代替主要方面，因而该观点片面、不能成立。
T0214,1. 2026海淀期末 第16题（主观题）,矛盾就是对立统一,2032,2035,2036,195,126,152,189,矩阵 M1353：2026海淀期末 Q16 正式评分标准列明“矛盾的观点”，细则写“一分为二、两重统一”。,技术进步对“数字原住民”既带来红利（互联互通、海量信息、智能便捷）又带来负面影响（感官刺激陷阱、思维惰化、表达与深度思考能力弱化），二者是同一事物中相互依存、相互制约的两个方面；“数字原住民”与技术进步相伴成长，必须坚持矛盾分析法、一分为二地看待技术——既享受其红利又防范其负面影响，不能片面化、绝对化。
T0289,1. 2026海淀期末 第16题（主观题）,两点论与重点论,2650,2653,2654,143,138,160,200,矩阵 M1346：2026海淀期末 Q16 正式评分标准写“一分为二、两重统一”，并提示“重点论”出不来只能1分。,“数字原住民”应坚持两点论与重点论的统一：既承认技术红利与负面影响并存（两点），又必须把“保持独立思考、深度思考、人的主体性”作为主要方面去重点把握（重点论），把信息工具作为辅助而非解决问题的直接主体；不能停在“各打五十大板”的均衡看法上，要明确反对沉溺感官刺激陷阱、反对复制粘贴取代独立探索、反对网络用语弱化深度思考。
T0320,1. 2026海淀期末 第16题（主观题）,实践是认识的基础,2946,2949,2950,180,123,132,196,矩阵 M1352：2026海淀期末 Q16 正式评分标准列明“实践的观点”，题干要求结合材料或个人体验说明数字原住民如何在技术使用实践中成长。,“数字原住民”与技术相伴成长不能停留在认识层面，要立足于使用技术的具体实践——主动选择高质量信息、主动放下短视频静心阅读、主动用书写代替复制粘贴、主动以规范表达代替过度的网络用语；在这些具体实践中检验和深化对“技术应如何为我所用”的认识，使技术真正服务于人的成长。
T0099,1. 2026海淀期末 第17题（主观题）,根据固有联系建立新的具体联系,996,999,1000,212,144,159,204,矩阵 M1358：2026海淀期末 Q17 正式评分标准“红色文化的发展”维度列出联系观点，材料通过体验、数字技术和青年讲述建立红色文化与青年生活的新具体联系。,红色文化与当代年轻人之间存在精神血脉相通的固有联系，但这种联系在传统课本式呈现中是隐性的；井冈山挑粮体验、长征数字艺术馆光影沉浸、延安青年讲解视频，把红色文化的内核与今天年轻人能感受、能参与、能讲述的具体方式重新建立起新的具体联系，使原本遥远的历史转化为可体验、可感知、可传播的现实情境，所以红色文化能“圈粉”年轻人。
T0005,1. 2026西城期末 第21题（主观题）,一切从实际出发 / 实事求是 / 主观与客观具体的历史的统一,105,108,109,187,134,166,198,矩阵 M1388：2026西城期末 Q21 正式评分细则 page_005 角度3列出“实事求是”。,五年规划科学制定的根本在于实事求是、一切从实际出发：从早期侧重经济发展、到逐步覆盖社会民生、科技创新、环境保护、生态、文化等，从规划实施中根据新问题、新趋势、新挑战不断优化路径，规划始终立足中国发展不同阶段的客观实际、随实际变化而调整；正是这种实事求是的态度使五年规划保持科学性，成为治国理政的重要经验和中国特色社会主义的政治优势。
T0304,10. 2025朝阳一模 第16题（主观题）,实践是认识的基础,2785,2788,2789,142,143,144,206,矩阵 M0177/M0209/M0424：2025朝阳一模 Q16 正式评分细则原图支持借助现代科技推动文化创新、立足时代之基和创作实践。,实践是认识的基础，实践是认识发展的动力。国产动画电影的成功来自创作团队长达九个月的特效打磨等具体的艺术创作实践，正是这种持续的创作实践不断推动着对动画技术、对中华优秀传统文化现代表达方式的认识深化和突破；只有在反复的创作实践中不断试错、雕琢、完善，传统文化才能借助新的电影语言绽放新光彩。
T0422,10. 2026东城期末 第16题（主观题）,价值观的导向作用,3827,3830,3831,181,128,138,191,矩阵 M1171：2026东城期末 Q16 正式细则第156行列“价值观”，第174行示例明确“价值观具有导向作用”。,价值观具有导向作用：“清白”作为美学与哲学交融的文化符号，承载着清正廉洁、刚正不阿的道德准则，是中华民族共同的价值观；它引导人作出正确的价值判断与价值选择，既塑造高尚正直的人格，也承载对家国百姓的责任担当。所以“白”不止于白——它在文明进程中沉淀为引领人精神追求的价值观符号。
T0011,10. 2026房山一模 第16题第（2）问（主观题）,一切从实际出发 / 实事求是 / 主观与客观具体的历史的统一,153,156,157,119,136,165,203,矩阵 M0071/M0133：2026房山一模 Q16(2) 评标/细则 paras13-21 明示“一切从实际出发”，高档要求融入大局中找定位。,物质决定意识，要求一切从实际出发、实事求是。“因地制宜”就是要从各地客观存在的资源禀赋、产业基础、自然条件出发——房山区依托能源资源建设战略保障基地、依托农产品禀赋发展特色农业、依托乡村文化资源开展文化活动；“宜林则林、宜草则草、宜沙则沙、宜荒则荒”同样是按各地客观条件作具体安排。这正是“因地制宜，本质就是实事求是”的根本含义。
T0423,11. 2025东城一模 第16题（主观题）,价值观的导向作用,3833,3836,3837,140,127,145,189,矩阵 M0081：2025东城一模 Q16 正式阅卷报告明确价值观导向作用、价值判断和价值选择可用于价值/文化价值角度。,价值观对人的认识和实践活动具有重要导向作用，正确的价值观、对美好生活共同的向往，能够凝聚民族力量。春节承载着阖家团圆、和睦喜庆、与自然和谐共生、追求美好生活的共同价值取向，激励中华儿女接续奋斗、增强民族自豪感和凝聚力；正是这种共同的价值取向使春节年复一年焕发新生命，所以中国年能够生生不息。
T0397,12. 2025朝阳期末 第16题（主观题）,人民群众,3595,3598,3599,128,136,164,199,矩阵 M1032：2025朝阳期末 Q16 PPT评分细则第137行明列“尊重人民群众主体地位/群众观点群众路线”。,用文化同世界对话，要尊重人民群众主体地位，坚持群众观点和群众路线，贴近群众视角、考虑群众需求、注重与群众互动、拉近与群众距离。汉代文物出境展出注重趣味互动，关注生活方式、文化交流等贴近普通观众的视角，寻找其与现代生活的契合点，拉近观众与文物之间的距离，正是把当地民众作为文化对话的主体，从而受到当地民众的欢迎，取得良好对话效果。
T0077,12. 2026丰台一模 第16题（主观题）,系统观念 / 系统优化,797,800,801,145,124,133,196,矩阵 M0051/M0130：2026丰台一模 Q16 正式阅卷细则明确“坚持联系的观点，立足整体，统筹部分”，要求统筹科技、伦理与社会公平。,事物的联系是普遍的，人工智能的发展与社会生活、文化传承、民生福祉紧密相连，并不孤立存在。要妥善处理这一时代命题，就必须立足整体、统筹部分，把AI发展与科技伦理、社会公平、文化多样性、老年人和偏远地区群众的现实需要联系起来通盘考虑，从而实现AI健康发展的整体最优目标。
T0133,12. 2026房山一模 第20题（主观题）,系统观念 / 系统优化,1291,1294,1295,118,119,163,201,矩阵 M0569：2026房山一模 Q20 评标/细则 paras69-81 明示矛盾、联系/对立统一、认识与实践、系统优化等。,系统观念要求着眼整体、统筹部分、注重内部各要素的有机衔接，使整体功能大于部分功能之和。坚持依法治国和依规治党有机统一，把宪法法律和党内法规作为中国特色社会主义法治体系的有机组成部分，推动治党治国在价值目标与运行机制上深度融合，保障治理的系统性、整体性、协同性——这正是用系统观念把握党的领导、依法治国与依规治党之间关系的体现。
T0199,12. 2026门头沟一模 第16题（主观题）,辩证否定 / 守正创新,1919,1922,1923,135,122,149,182,矩阵 M0076/M0170/M0232：2026门头沟一模 Q16 细则明确哲学角度包括辩证否定观/扬弃，答出一点2分，两点及以上3分，结合材料1分。,辩证否定是事物自身的否定，是联系和发展的环节，其实质是扬弃。永定河古渠保留了其核心的灌溉、防洪功能，又新增了生态补水、文化教育、文旅融合等新功能；这种“保留+生发”式的辩证否定，实现了与时俱进的转型，使古渠从可能“沉睡”的文物变成“奔流不息的活态遗产”，体现了优秀传统文化的创造性转化和创新性发展。
