check_id,severity,status,file_or_area,line_or_row,detail,required_patch
C01_row_count_29,P0,PASS,09_student_draft/phase10_polished_outline_FROM_29.md,headings,Phase10 student body has 29 visible ### headings (12 思维 + 1 边界陷阱 + 11 推理 + 5 交叉) matching Phase09 control matrix exactly.,none
C02_control_matrix_29,P0,PASS,09_student_draft/phase10_polish_control_matrix.csv,rows,Control matrix has 29 entry rows with same QIDs as Phase09; phase10_scope_lock=same_29_rows_no_expansion on every row.,none
C03_module_section_counts,P0,PASS,09_student_draft/phase10_polish_control_matrix.csv,modules,Module counts thinking=13 reasoning=11 cross=5 unchanged from Phase09; section_counts thinking=12 boundary=1 reasoning=11 cross=5.,none
C04_no_74_evidence_expansion,P0,PASS,09_student_draft/phase10_polished_outline_FROM_29.md,whole-file,No evidence-pool 74 row IDs introduced; only 29 prototype rows expanded into 正文.,none
C05_no_45_hold_expansion,P0,PASS,09_student_draft/phase10_polished_outline_FROM_29.md,whole-file,No 45 hold rows expanded; only same-29 retained.,none
C06_no_288_L0_expansion,P0,PASS,09_student_draft/phase10_polished_outline_FROM_29.md,whole-file,No 288 L0 rows expanded.,none
C07_hard_excluded_index_only,P0,PASS,09_student_draft/phase10_polished_outline_FROM_29.md,line 33;line 73;line 123;line 146;line 328,Hard-excluded items (Q-2024西城一模-11 / Q-2025海淀二模-12 / Q-2025海淀二模-13 / Q-2026顺义一模-3) appear only as readable same-type index titles; no answer/option/题型结论 expansion.,none
C08_xicheng_q11_no_b14_pairing,P0,PASS,09_student_draft/phase10_polished_outline_FROM_29.md,whole-file,String B=①④ and B（①④） not present anywhere in student body; Q-2024西城一模-11 not given a正确配对.,none
C09_internal_terms_zero,P0,PASS,09_student_draft/phase10_polished_outline_FROM_29.md,whole-file,Forbidden terms Phase09 / Phase10 / packet / source locator / lane / Lane / Governor / Confucius / L3 / L4 / B-choice-signal / LOCKED_FOR_FUSION / 文件路径 / 细则编号 / /Users/ / source_entry_status / question_id all yield zero hits in student body.,none
C10_no_raw_qid_in_body,P0,PASS,09_student_draft/phase10_polished_outline_FROM_29.md,whole-file,No raw Q-YYYY... QID strings remain in student body; same-type indexes use readable year+district+stage+question titles only.,none
C11_choice_q2024chaoyang1_7,P0,PASS,09_student_draft/phase10_polished_outline_FROM_29.md,line 21,Q-2024朝阳一模-7 答案落点 reads 选 C，②③.,none
C12_choice_q2024chaoyang1_9,P0,PASS,09_student_draft/phase10_polished_outline_FROM_29.md,line 31,Q-2024朝阳一模-9 答案落点 reads 选 D，③④.,none
C13_choice_q2025fengtai_8,P0,PASS,09_student_draft/phase10_polished_outline_FROM_29.md,line 60;line 61,Q-2025丰台期末-8 答题动作 and 答案落点 both read 选 D，②④.,none
C14_choice_q2025dongcheng_13,P0,PASS,09_student_draft/phase10_polished_outline_FROM_29.md,line 224,Q-2025东城期末-13 答案落点 reads 选 B，①③.,none
C15_choice_q2025shunyi_7,P0,PASS,09_student_draft/phase10_polished_outline_FROM_29.md,line 244;line 246,Q-2025顺义一模-7 写明 大项不当扩大；A 把它说成小项不当扩大；答案落点 选 A.,none
C16_q2025fengtai_7_boundary_trap,P0,PASS,09_student_draft/phase10_polished_outline_FROM_29.md,line 138-146,Q-2025丰台期末-7 lives only inside section 二、边界陷阱; not promoted into 思维主链 or 超前思维正例.,none
C17_q2026shunyi_19_2_scientific_primary,P0,PASS,09_student_draft/phase10_polished_outline_FROM_29.md,line 347-360,Q-2026顺义一模-19-2 主讲线=思维方法/科学思维三特征; 辅助线=推理结构/三段论 (作为骨架); 不是典型三段论题; primary_mount=思维 in control matrix.,none
C18_q2024chaoyang2_19_no_audit_terms,P0,PASS,09_student_draft/phase10_polished_outline_FROM_29.md,line 277-310,Q-2024朝阳二模-19-1/19-2 use 第一空 / 第二空 wording with no 细则编号 / 文件编号 / 来源页码 / 审稿术语.,none
C19_sufficient_vs_necessary_split,P0,PASS,09_student_draft/phase10_polished_outline_FROM_29.md,line 153-159;line 164-168;line 263-268,Q-2024朝阳一模-20-1 (充分条件否定后件式)、Q-2024朝阳一模-20-2 (必要条件肯定后件式)、Q-2026通州期末-19-2 三处规则保持分写; Q-2026通州期末-19-2 答案落点明确写"答题时必须分别写出充分条件和必要条件的规则，不能用一个肯定前件口诀混答".,none
C20_q2026fengtai_18_2_full_chain,P0,PASS,09_student_draft/phase10_polished_outline_FROM_29.md,line 252-258,Q-2026丰台一模-18-2 完整保留 甲必要条件假言推理肯定后件式 + 前提真实 + 推理成立; 乙三段论大项在前提不周延却在结论周延 → 大项不当扩大 → 推理不成立; 链条未简化.,none
C21_q2025haidian_20_angle_pool,P0,PASS,09_student_draft/phase10_polished_outline_FROM_29.md,line 65-73,Q-2025海淀二模-20 保留辩证思维角度池写法; 选两个角度写深; 易错陷阱明确"不能写成三点全必答"; 未变成三点固定赋分模板.,none
C22_same_type_style_decision_documented,P0,PASS,09_student_draft/phase10_same_type_index_style_decision.md,whole-file,Decision = student_readable_titles_in_body_raw_qids_in_control_matrix; control matrix retains question_id + same_type_ids + same_type_visible; scope_lock holds.,none
C23_traceability_29_pass,P0,PASS,09_student_draft/phase10_question_id_traceability_backcheck.csv,rows 2-30,All 29 prototype QIDs show visible_heading_match=yes with raw_qid_in_student_body=no and traceability_status=PASS.,none
C24_traceability_hard_excluded_pass,P0,PASS,09_student_draft/phase10_question_id_traceability_backcheck.csv,rows 31-34,All 4 hard-excluded QIDs show raw_qid_in_student_body=no and traceability_status=PASS; readable index titles do not violate the index-only lock.,none
C25_no_answer_value_change,P0,PASS,09_student_draft/phase10_polished_outline_FROM_29.md,line 21;line 31;line 60;line 61;line 144;line 180;line 224;line 246;line 320,Polish only standardised choice answer punctuation (e.g. 正确选项 C（②③）→ 选 C，②③); no answer letter or option-pair changed compared to Phase09 control matrix.,none
C26_no_module_or_mount_change,P0,PASS,09_student_draft/phase10_polish_control_matrix.csv,rows 2-30,primary_mount and secondary_mount values per row identical to Phase09 control matrix; no cross 主/辅 line swapped.,none
C27_no_question_type_change,P0,PASS,09_student_draft/phase10_polish_control_matrix.csv,rows 2-30,question_type values unchanged; reasoning rules and validity preserved verbatim from Phase09 with only readability polish.,none
C28_cross_anchor_q2026shunyi_19_2,P0,PASS,09_student_draft/phase10_polished_outline_FROM_29.md,line 353,Q-2026顺义一模-19-2 主讲线 thinking 添加 答案落点: 科学思维具有客观性、预见性和可检验性；本题产品研发立足老人真实需求、研判老龄化趋势，并通过反复测试迭代接受检验; 卷面作答锚点已就位.,none
C29_cross_anchor_other_cross_entries_preserved,P0,PASS,09_student_draft/phase10_polished_outline_FROM_29.md,line 285;line 303;line 320;line 338,Q-2024朝阳二模-19-1 第一空/第二空; Q-2024朝阳二模-19-2 联言判断保真条件; Q-2024朝阳期中-9 共变法; Q-2026顺义一模-19-1 前提真实性+结构正确性 — 四处主讲线答案落点保留卷面作答句.,none
C30_no_word_pdf_final_claim,P0,PASS,09_student_draft/phase10_polished_outline_FROM_29.md,whole-file,Polished outline is plain markdown; no Word/PDF/最终稿/终稿/宝典成品 wording introduced; Codex A verification explicitly states "Phase10 is still polish/outline only".,none
C31_codexA_verdict_pass,P0,PASS,08_review/phase10_codexA_polish_verification.md,whole-file,Codex A returned PASS_CODEXA_PHASE10_POLISH with all 10 internal checks PASS.,none
C32_polish_reproducibility,P0,PASS,02_extraction/phase10_build_polished_outline.py,whole-file,Phase10 build is reproducible from Phase09 controlled draft; script reads only IN_MD + IN_MATRIX (Phase09) and emits 8 governed artifacts; HARD_EXCLUDED set hard-coded.,none
C33_q2025shunyi_7_source_pointer_in_phase10_register,P3,WARN,09_student_draft/phase10_QID_risk_register.md,row 5,"Phase10 QID Risk Register notes source clue 继续留在审计文件 but does not include explicit pointer to 09_student_draft/phase09_QID_risk_register.md row 6 where 036 顺义参考答案 摘录 lives. Lock itself is held; cross-reference would tighten audit traceability per GPT advisory ""Phase10 审计表必须继续保留 036 顺义参考答案来源线索"".",add a 'source_trace_pointer: 09_student_draft/phase09_QID_risk_register.md row 6' column or footnote to the Phase10 register so GPT can find the trace without grep
C34_rubric_marker_polish,P3,WARN,09_student_draft/phase10_polished_outline_FROM_29.md,line 40;line 42;line 50;line 52,"Tone polish removed scoring rubric markers (e.g. ""科学思维 2 分/创新思维 3 分/辩证思维 2 分"" -> ""按三个角度拆开""; ""1 分/2 分""赋分括号被去掉). Substance — angles and required content — preserved. Removal is defensible as 审稿味/采分味 polish but loses score-budget hint that students may use to plan answer length.",none required; if a future pass wants to keep the score budget, restore the (X分) markers without re-introducing 审稿味 wording
