title,suite,question,part,same_group,score,score_method,layer,layer_method,question_text
1. 2026通州期中Q20,2026通州期中,Q20,,YES,8分,hard,YES,added,结合材料，运用《当代国际政治与经济》知识，谈谈你对“全球治理倡议正逢其时、指引方向、彰显担当”的理解。
2. 2025海淀期中Q21(2),2025海淀期中,Q21,2,YES,,,NO,,结合材料，运用《当代国际政治与经济》知识，分析新中国外交的“变”与“不变”。
3. 2026朝阳一模Q20,2026朝阳一模,Q20,,YES,,,NO,,结合材料，运用《当代国际政治与经济》的知识，阐述中国为什么能为全球发展注入稳定性和正能量。
4. 2024海淀二模Q18(1)多极化世界中的民主与全球治理,2024海淀二模,Q18,1,YES,8分,prompt,NO,,任选一个议题，参考资料包中的内容，运用《当代国际政治与经济》知识，围绕所选议题写一篇时政述评。（8分）要求：观点明确；知识运用准确、贴切；论述合乎逻辑，条理清晰。
"5. 2025延庆一模Q20(2)外交部发言人回应""脱钩断链""",2025延庆一模,Q20,2,YES,,,NO,,假如你是外交部发言人，请结合材料二，运用《当代国际政治与经济》知识，对上述提问做出回应。
6. 2025房山一模Q18(2)中国开源战略,2025房山一模,Q18,2,YES,,,NO,,"""中国的开源战略不仅是技术上的革新，更是对全球合作新模式的一次积极探索和实践。""结合材料，运用《当代国际政治与经济》知识，谈谈你对这句话的理解。"
"7. 2024海淀期中Q21(2)新中国外交的""变""",2024海淀期中,Q21,2,YES,,,NO,,"结合材料，运用《当代国际政治与经济》知识，分析新中国外交的""变""与""不变""。"
8. 2024西城二模Q19中国答案的国际关系新思路,2024西城二模,Q19,,YES,,,NO,,结合材料，阐述中国答案所体现的处理国际关系的新思路。
9. 2025朝阳期末Q21,2025朝阳期末,Q21,,YES,,,NO,,结合材料，运用《当代国际政治与经济》知识，说明如何通过开展中国特色大国外交为推进中国式现代化营造良好外部环境。
10. 2026顺义一模Q20,2026顺义一模,Q20,,YES,,,NO,,结合材料，运用《当代国际政治与经济》知识，阐述科技小院成为南南合作典范的深层逻辑。
11. 2025丰台期末Q20——中非达成战略性共识的理论逻辑和价值意蕴,2025丰台期末,Q20,,YES,,,NO,,阅读材料，运用《当代国际政治与经济》知识，阐明中非达成一系列战略性共识的理论逻辑和价值意蕴。
"12. 2026延庆一模Q19(2)——中国""推动重塑全球能源治理格局""的理论逻辑和价值意蕴",2026延庆一模,Q19,2,YES,,,NO,,"结合材料二，运用《当代国际政治与经济》知识，说明中国""推动重塑全球能源治理格局""的理论逻辑和价值意蕴。"
13. 2026海淀期中Q22(1),2026海淀期中,Q22,1,YES,6分,prompt,NO,,运用《当代国际政治与经济》知识，说明全球治理倡议为什么能获得国际社会广泛认同。（6分）
14. 2026朝阳期末Q20,2026朝阳期末,Q20,,YES,,,NO,,结合材料，运用《当代国际政治与经济》知识，分析中国特色大国外交为什么要更有作为。
15. 2026海淀二模Q20(2),2026海淀二模,Q20,2,YES,7分,source_after_subquestion,NO,,结合材料，运用《当代国际政治与经济》知识，围绕全球发展倡议从合作理念到丰富实践这一主题，撰写一篇短评。
16. 2026西城二模Q19(1),2026西城二模,Q19,1,YES,6分,source_after_subquestion,NO,,结合材料，运用当代国际政治知识，阐释中国参与全球数据治理的逻辑。
17. 2026朝阳二模Q20(2),2026朝阳二模,Q20,2,YES,6分,hard,YES,added,结合材料，运用《当代国际政治与经济》知识，分析人类命运共同体理念为什么能维护世界和平与发展。
1. 2025东城二模Q20,2025东城二模,Q20,,YES,8分,source_after_question,NO,,结合材料，运用《当代国际政治与经济》知识，写一篇小论文。
2. 2024朝阳一模Q21,2024朝阳一模,Q21,,YES,,,NO,,结合上述资料，在分析我国当前经济形势的基础上，运用《当代国际政治与经济》知识，谈谈如何推动中国经济在变局中开新局。
3. 2025东城期末Q20,2025东城期末,Q20,,YES,,,NO,,运用《当代国际政治与经济》知识，写一篇短文，谈谈你对上述材料的认识。要求：题目自拟，观点明确，逻辑清晰，200字左右。
1. 2024朝阳二模Q20,2024朝阳二模,Q20,,YES,,,NO,,结合研讨背景，运用《当代国际政治与经济》知识，完成下表：完善全球气候治理应遵循的基本原则；本次研讨各方达成的共识。
1. 2025延庆一模Q20(2),2025延庆一模,Q20,2,YES,,,NO,,结合材料二，运用《当代国际政治与经济》知识，阐释中国对维护全球产供链韧性和稳定的政策主张。
1. 2026通州期中Q20,2026通州期中,Q20,,YES,8分,hard,YES,added,结合材料，运用《当代国际政治与经济》知识，谈谈你对“全球治理倡议正逢其时、指引方向、彰显担当”的理解。
1. 2025海淀期中Q21(2),2025海淀期中,Q21,2,YES,,,NO,,结合材料，运用《当代国际政治与经济》知识，分析新中国外交的“变”与“不变”。
2. 2024海淀期中Q21(2),2024海淀期中,Q21,2,YES,9分,prompt,NO,,结合材料，运用《当代国际政治与经济》知识，分析新中国外交的“变”与“不变”。（9分）
"3. 2026延庆一模Q19(2)——中国""推动重塑全球能源治理格局""的理论逻辑和价值意蕴",2026延庆一模,Q19,2,YES,,,NO,,"结合材料二，运用《当代国际政治与经济》知识，说明中国""推动重塑全球能源治理格局""的理论逻辑和价值意蕴。"
4. 2025东城期末Q20——评价欧盟对中国新能源汽车征收临时反补贴税,2025东城期末,Q20,,YES,,,NO,,运用《当代国际政治与经济》知识，写一篇短文，谈谈你对上述材料的认识。要求：题目自拟，观点明确，逻辑清晰，200字左右。
5. 2024顺义二模Q19(2),2024顺义二模,Q19,2,YES,8分,prompt,NO,,结合材料，综合运用《政治与法治》和《当代国际政治与经济》知识，说明我国积极推动新质生产力发展的原因。（8分）
6. 2026朝阳期末Q20,2026朝阳期末,Q20,,YES,,,NO,,结合材料，运用《当代国际政治与经济》知识，分析中国特色大国外交为什么要更有作为。
7. 2026石景山二模Q18,2026石景山二模,Q18,,YES,,,NO,,结合材料，运用《当代国际政治与经济》的知识，分析中国与东盟经贸合作不断提质升级的原因和意义。
1. 2025东城一模Q20,2025东城一模,Q20,,YES,,,NO,,结合材料，运用《当代国际政治与经济》知识，谈谈此次元首外交的“精彩”之处。
2. 2026石景山一模Q20,2026石景山一模,Q20,,YES,,,NO,,运用《当代国际政治与经济》知识，任选两个关键词，说明中国倡议如何助推亚太合作。
3. 2026顺义一模Q20,2026顺义一模,Q20,,YES,,,NO,,结合材料，运用《当代国际政治与经济》知识，阐述科技小院成为南南合作典范的深层逻辑。
4. 2026丰台一模Q19,2026丰台一模,Q19,,YES,,,NO,,结合材料，运用《当代国际政治与经济》知识，说明中国在全球可持续发展中彰显了怎样的大国情怀与担当。
5. 2025丰台期末Q20——中非达成战略性共识的理论逻辑和价值意蕴,2025丰台期末,Q20,,YES,,,NO,,阅读材料，运用《当代国际政治与经济》知识，阐明中非达成一系列战略性共识的理论逻辑和价值意蕴。
"6. 2026延庆一模Q19(2)——中国""推动重塑全球能源治理格局""的理论逻辑和价值意蕴",2026延庆一模,Q19,2,YES,,,NO,,"结合材料二,运用《当代国际政治与经济》知识，说明中国""推动重塑全球能源治理格局""的理论逻辑和价值意蕴。"
7. 2026房山二模Q20,2026房山二模,Q20,,YES,,,NO,,结合材料，运用《当代国际政治与经济》知识，分析世界数据组织完善全球数据治理，服务全球数字经济发展的智慧。
8. 2026石景山二模Q18,2026石景山二模,Q18,,YES,,,NO,,结合材料，运用《当代国际政治与经济》的知识，分析中国与东盟经贸合作不断提质升级的原因和意义。
9. 2025东城二模Q20（同球共济精神）,2025东城二模,Q20,,YES,,,NO,,结合材料，运用《当代国际政治与经济》知识，写一篇关于“同球共济”精神和中国行动的小论文。要求：自拟题目、观点明确、逻辑清晰，200字左右。
10. 2025朝阳二模Q21（周边工作新局面）,2025朝阳二模,Q21,,YES,,,NO,,结合材料，运用《当代国际政治与经济》知识，说明我国为什么要努力开创周边工作新局面。
11. 2026西城一模Q20(2)（中国—东盟自贸区3.0版）,2026西城一模,Q20,2,YES,,,NO,,结合材料，运用所学，分析中国—东盟自贸区3.0版是如何为区域发展和世界经济注入强劲动力的。
1. 2024西城一模Q19(6),2024西城一模,Q19,6,YES,,,NO,,面对新一轮前沿科技发展浪潮，结合材料，从经济角度分析我国未来产业发展的机遇和挑战，以及攻克“卡脖子”难题对经济开放发展的助推作用。
2. 2025房山一模Q18(2),2025房山一模,Q18,2,YES,,,NO,,“中国的开源战略不仅是技术上的革新，更是对全球合作新模式的一次积极探索和实践。”结合材料，运用《当代国际政治与经济》知识，谈谈你对这句话的理解。
3. 2024顺义二模Q19(2),2024顺义二模,Q19,2,YES,8分,prompt,NO,,结合材料，综合运用《政治与法治》和《当代国际政治与经济》知识，说明我国积极推动新质生产力发展的原因。（8分）
4. 2024西城二模Q17,2024西城二模,Q17,,YES,,,NO,,新一轮科技革命在全球范围内风起云涌。结合材料，综合运用所学，谈谈在当今时代，我国作为世界上最大的发展中国家应当扮演的角色。
1. 2026朝阳一模Q20,2026朝阳一模,Q20,,YES,,,NO,,结合材料，运用《当代国际政治与经济》知识，阐述中国为什么能为全球发展注入稳定性和正能量。
1. 2025东城一模Q21,2025东城一模,Q21,,YES,10分,source_after_question,NO,,结合材料，综合运用所学，谈谈你对“教育是强国建设、民族复兴之基”的理解。
1. 2026朝阳期中Q17,2026朝阳期中,Q17,,YES,8分,hard,YES,added,结合材料，运用《当代国际政治与经济》知识阐述我国应如何处理好推进“人工智能+”发展过程中的重要关系。
1. 2025海淀期中Q16(2),2025海淀期中,Q16,2,YES,,,NO,,结合材料三，从经济角度，为中国咖啡企业“出海”提出建议。
1. 2024东城一模Q20,2024东城一模,Q20,,YES,,,NO,,结合材料，运用经济的相关知识，分析我国的上述措施如何通过构建新发展格局助力经济高质量发展。
2. 2024石景山一模Q19(2),2024石景山一模,Q19,2,YES,8分,prompt,NO,,结合材料，运用《当代国际政治与经济》知识，分析中国新能源汽车企业从“走出去”到“扎下根”的原因。（8分）
"3. 2026延庆一模Q19(2)——中国""推动重塑全球能源治理格局""的理论逻辑和价值意蕴",2026延庆一模,Q19,2,YES,,,NO,,"结合材料二，运用《当代国际政治与经济》知识，说明中国""推动重塑全球能源治理格局""的理论逻辑和价值意蕴。"
4. 2026门头沟一模Q20——海南自贸港全岛封关的国内国际意义,2026门头沟一模,Q20,,YES,,,NO,,结合材料，运用《当代国际政治与经济》知识，分析海南自贸港全岛封关为何能为中国经济发展注入新动能、为世界经济开放发展注入新活力。
5. 2025朝阳一模Q20,2025朝阳一模,Q20,,YES,,,NO,,结合材料，运用《当代国际政治与经济》知识，说明我国应如何应对全球产业链供应链新态势，在全球产业变革中赢得主动。
6. 2026丰台二模Q20,2026丰台二模,Q20,,YES,,,NO,,结合材料，运用《当代国际政治与经济》知识，阐明中国加快推进自由贸易试验区/自由贸易港建设为世界注入更多确定性的原因。
1. 2024东城一模Q20,2024东城一模,Q20,,YES,,,NO,,结合材料，运用经济的相关知识，分析我国的上述措施如何通过构建新发展格局助力经济高质量发展。
2. 2024朝阳期中Q20(3),2024朝阳期中,Q20,3,YES,,,NO,,结合材料，运用《当代国际政治与经济》知识，以“数字驱动 商通全球”为主题撰写一篇短评。
3. 2026朝阳一模Q20,2026朝阳一模,Q20,,YES,,,NO,,结合材料，运用《当代国际政治与经济》的知识，阐述中国为什么能为全球发展注入稳定性和正能量。
4. 2026房山一模Q19,2026房山一模,Q19,,YES,,,NO,,结合材料，运用《当代国际政治与经济》知识，分析海南自贸港封关是如何助力国际循环的。
5. 2024海淀一模Q18(1)免签政策与高水平对外开放,2024海淀一模,Q18,1,YES,6分,source_after_subquestion,NO,,结合材料，运用《当代国际政治与经济》知识，预测上述举措对服务高水平对外开放的积极影响。
6. 2024朝阳一模Q21中国经济在变局中开新局,2024朝阳一模,Q21,,YES,,,NO,,结合上述资料，在分析我国当前经济形势的基础上，运用《当代国际政治与经济》知识，谈谈如何推动中国经济在变局中开新局。
"7. 2024丰台一模Q20供应链如何成为""共赢链""",2024丰台一模,Q20,,YES,,,NO,,"结合材料，运用《当代国际政治与经济》知识，说明我国的实践是如何推动供应链成为国际合作""共赢链""的。"
"8. 2024石景山一模Q19(2)新能源车企""扎下根""",2024石景山一模,Q19,2,YES,8分,prompt,NO,,"结合材料，运用《当代国际政治与经济》知识，分析中国新能源汽车企业从""走出去""到""扎下根""的原因。（8分）"
9. 2026门头沟一模Q20,2026门头沟一模,Q20,,YES,,,NO,,结合材料，运用《当代国际政治与经济》知识，分析海南自贸港全岛封关为何能为中国经济发展注入新动能、为世界经济开放发展注入新活力。
10. 2026海淀一模Q20中国标准走出国门撬动两个市场两种资源,2026海淀一模,Q20,,YES,,,NO,,结合材料，运用《当代国际政治与经济》知识，谈谈中国标准走出国门的意义。
11. 2025昌平二模Q21稳外资举措激活两个市场两种资源,2025昌平二模,Q21,,YES,8分,prompt,NO,,结合材料，说明上述举措对我国建设更高水平的开放型经济具有什么重要意义。（8分）
12. 2026石景山二模Q18,2026石景山二模,Q18,,YES,,,NO,,结合材料，运用《当代国际政治与经济》的知识，分析中国与东盟经贸合作不断提质升级的原因和意义。
1. 2024朝阳期中Q20(3),2024朝阳期中,Q20,3,YES,,,NO,,结合材料，运用《当代国际政治与经济》知识，以“数字驱动 商通全球”为主题撰写一篇短评。
2. 2025海淀一模Q21(2),2025海淀一模,Q21,2,YES,6分,prompt,NO,,结合材料，运用《当代国际政治与经济》知识，说明我国外贸为何能连上两个万亿级台阶。（6分）
1. 2024朝阳期中Q20(3),2024朝阳期中,Q20,3,YES,,,NO,,结合材料，运用《当代国际政治与经济》知识，以“数字驱动 商通全球”为主题撰写一篇短评。
1. 2026东城一模Q19(3),2026东城一模,Q19,3,YES,8分,prompt,NO,,结合材料二，运用《当代国际政治与经济》知识，分析在推动未来产业中，北京是如何统筹高水平对外开放与提升产业链韧性之间关系的。（8分）
"1. 2024朝阳期中Q20(3)""数字驱动商通全球""短评",2024朝阳期中,Q20,3,YES,,,NO,,"结合材料，运用《当代国际政治与经济》知识，以""数字驱动 商通全球""为主题撰写一篇短评。"
"2. 2025东城一模Q20元首外交""精彩""之处",2025东城一模,Q20,,YES,,,NO,,"结合材料，运用《当代国际政治与经济》知识，谈谈此次元首外交的""精彩""之处。"
3. 2025延庆一模Q20(2),2025延庆一模,Q20,2,YES,,,NO,,假如你是外交部发言人，请结合材料二，运用《当代国际政治与经济》知识，对上述提问做出回应。
4. 2025门头沟一模Q19,2025门头沟一模,Q19,,YES,,,NO,,"结合材料，运用《当代国际政治与经济》的相关知识，分析中国做""赋能型大国""的世界意义？"
5. 2025朝阳期末Q21,2025朝阳期末,Q21,,YES,,,NO,,结合材料，运用《当代国际政治与经济》知识，说明如何通过开展中国特色大国外交为推进中国式现代化营造良好外部环境。
6. 2025顺义一模Q20,2025顺义一模,Q20,,YES,,,NO,,结合材料，运用《当代国际政治与经济》知识，说明“小而美”项目为何成为中国开展国际发展合作的亮点和名片。
7. 2025昌平二模Q21,2025昌平二模,Q21,,YES,8分,prompt,NO,,结合材料，说明上述举措对我国建设更高水平的开放型经济具有什么重要意义。（8分）
8. 2025西城一模Q21,2025西城一模,Q21,,YES,8分,prompt,YES,added,（1）运用所学，解释“我国的发展理念成为国际公共产品”这一现象。（6分）（2）我国还提供了哪些国际公共产品？试举一例简要说明。（2分）
9. 2026房山二模Q20,2026房山二模,Q20,,YES,,,NO,,结合材料，运用《当代国际政治与经济》知识，分析世界数据组织完善全球数据治理，服务全球数字经济发展的智慧。
10. 2026石景山二模Q18,2026石景山二模,Q18,,YES,,,NO,,结合材料，运用《当代国际政治与经济》的知识，分析中国与东盟经贸合作不断提质升级的原因和意义。
11. 2026海淀二模Q20(2),2026海淀二模,Q20,2,YES,7分,source_after_subquestion,NO,,结合材料，运用《当代国际政治与经济》知识，围绕全球发展倡议从合作理念到丰富实践这一主题，撰写一篇短评。
12. 2026丰台二模Q20,2026丰台二模,Q20,,YES,,,NO,,结合材料，运用《当代国际政治与经济》知识，阐明中国加快推进自由贸易试验区/自由贸易港建设为世界注入更多确定性的原因。
13. 2026顺义一模Q20,2026顺义一模,Q20,,YES,,,NO,,结合材料，运用《当代国际政治与经济》知识，阐述科技小院成为南南合作典范的深层逻辑。
1. 2025西城二模Q19(2),2025西城二模,Q19,2,YES,,,NO,,结合材料，运用《当代国际政治与经济》知识，说明这一做法中的中国担当。
1. 2026西城一模Q20(2),2026西城一模,Q20,2,YES,8分,source_after_subquestion,NO,,结合材料，运用《当代国际政治与经济》知识，分析中国—东盟自贸区3.0版是如何为区域发展和世界经济注入强劲动力的。
1. 2026西城一模Q20(2),2026西城一模,Q20,2,YES,8分,source_after_subquestion,NO,,结合材料，运用《当代国际政治与经济》知识，分析中国—东盟自贸区3.0版是如何为区域发展和世界经济注入强劲动力的。
2. 2026朝阳一模Q20,2026朝阳一模,Q20,,YES,,,NO,,结合材料，运用《当代国际政治与经济》的知识，阐述中国为什么能为全球发展注入稳定性和正能量。
3. 2025朝阳二模Q21,2025朝阳二模,Q21,,YES,,,NO,,结合材料，运用《当代国际政治与经济》知识，说明我国为什么要努力开创周边工作新局面。
4. 2025丰台一模Q20北京“两区”通关创新,2025丰台一模,Q20,,YES,,,NO,,结合材料，运用《经济与社会》《当代国际政治与经济》知识，说明北京“两区”建设的举措是如何助力开放型经济迈上新台阶的。
"5. 2026房山一模Q19海南""一线放开""自由便利",2026房山一模,Q19,,YES,,,NO,,结合材料，运用《当代国际政治与经济》知识，分析海南自贸港封关是如何助力国际循环的。
6. 2025海淀一模Q21(2),2025海淀一模,Q21,2,YES,6分,prompt,NO,,结合材料，运用《当代国际政治与经济》知识，说明我国外贸为何能连上两个万亿级台阶。（6分）
7. 2025西城期末Q20,2025西城期末,Q20,,YES,6分,prompt,NO,,欧盟是中国整车出口的第一大市场，也是中国电动汽车出口的主要目的地。2024年10月，欧盟决定对从中国进口的纯电动汽车征收为期五年的高额反补贴税。中国汽车企业该如何应对？（6分）
8. 2024海淀一模Q18(1),2024海淀一模,Q18,1,YES,6分,prompt,NO,,结合材料，运用《当代国际政治与经济》知识，预测上述举措对服务高水平对外开放的积极影响。（6分）
9. 2024丰台一模Q20,2024丰台一模,Q20,,YES,,,NO,,结合材料，运用《当代国际政治与经济》知识，说明我国的实践是如何推动供应链成为国际合作“共赢链”的。
10. 2026石景山一模Q20,2026石景山一模,Q20,,YES,,,NO,,运用《当代国际政治与经济》知识，任选两个关键词，说明中国倡议如何助推亚太合作。
11. 2026门头沟一模Q20——海南自贸港全岛封关的国内国际意义,2026门头沟一模,Q20,,YES,,,NO,,结合材料，运用《当代国际政治与经济》知识，分析海南自贸港全岛封关为何能为中国经济发展注入新动能、为世界经济开放发展注入新活力。
12. 2025东城期末Q20——评价欧盟对中国新能源汽车征收临时反补贴税,2025东城期末,Q20,,YES,,,NO,,运用《当代国际政治与经济》知识，写一篇短文，谈谈你对上述材料的认识。要求：题目自拟，观点明确，逻辑清晰，200字左右。
13. 2025昌平二模Q21,2025昌平二模,Q21,,YES,8分,prompt,NO,,结合材料，说明上述举措对我国建设更高水平的开放型经济具有什么重要意义。（8分）
14. 2025朝阳一模Q20,2025朝阳一模,Q20,,YES,,,NO,,结合材料，运用《当代国际政治与经济》知识，说明我国应如何应对全球产业链供应链新态势，在全球产业变革中赢得主动。
15. 2026东城二模Q20(3),2026东城二模,Q20,3,YES,7分,source_after_subquestion,NO,,结合材料三，运用《当代国际政治与经济》知识，分析购在中国与投资中国如何协同发力，释放我国独特的开放红利。
16. 2026丰台二模Q20,2026丰台二模,Q20,,YES,,,NO,,结合材料，运用《当代国际政治与经济》知识，阐明中国加快推进自由贸易试验区/自由贸易港建设为世界注入更多确定性的原因。
1. 2026西城一模Q20(2),2026西城一模,Q20,2,YES,8分,source_after_subquestion,NO,,结合材料，运用《当代国际政治与经济》知识，分析中国—东盟自贸区3.0版是如何为区域发展和世界经济注入强劲动力的。
2. 2024石景山一模Q19(2),2024石景山一模,Q19,2,YES,8分,prompt,NO,,结合材料，运用《当代国际政治与经济》知识，分析中国新能源汽车企业从“走出去”到“扎下根”的原因。（8分）
1. 2026朝阳一模Q20,2026朝阳一模,Q20,,YES,,,NO,,结合材料，运用《当代国际政治与经济》的知识，阐述中国为什么能为全球发展注入稳定性和正能量。
2. 2026房山一模Q19,2026房山一模,Q19,,YES,,,NO,,结合材料，运用《当代国际政治与经济》知识，分析海南自贸港封关是如何助力国际循环的。
3. 2024丰台一模Q20,2024丰台一模,Q20,,YES,,,NO,,结合材料，运用《当代国际政治与经济》知识，说明我国的实践是如何推动供应链成为国际合作“共赢链”的。
4. 2026门头沟一模Q20,2026门头沟一模,Q20,,YES,,,NO,,结合材料，运用《当代国际政治与经济》知识，分析海南自贸港全岛封关为何能为中国经济发展注入新动能、为世界经济开放发展注入新活力。
5. 2026丰台二模Q20,2026丰台二模,Q20,,YES,,,NO,,结合材料，运用《当代国际政治与经济》知识，阐明中国加快推进自由贸易试验区/自由贸易港建设为世界注入更多确定性的原因。
1. 2024丰台一模Q20,2024丰台一模,Q20,,YES,,,NO,,结合材料，运用《当代国际政治与经济》知识，说明我国的实践是如何推动供应链成为国际合作“共赢链”的。
1. 2026朝阳一模Q20,2026朝阳一模,Q20,,YES,,,NO,,结合材料，运用《当代国际政治与经济》的知识，阐述中国为什么能为全球发展注入稳定性和正能量。
2. 2026东城一模Q19(3),2026东城一模,Q19,3,YES,8分,prompt,NO,,结合材料二，运用《当代国际政治与经济》知识，分析在推动未来产业中，北京是如何统筹高水平对外开放与提升产业链韧性之间关系的。（8分）
3. 2025丰台一模Q20,2025丰台一模,Q20,,YES,,,NO,,结合材料，运用《经济与社会》《当代国际政治与经济》知识，说明北京“两区”建设的举措是如何助力开放型经济迈上新台阶的。
4. 2026房山一模Q19,2026房山一模,Q19,,YES,,,NO,,结合材料，运用《当代国际政治与经济》知识，分析海南自贸港封关是如何助力国际循环的。
5. 2026门头沟一模Q20,2026门头沟一模,Q20,,YES,,,NO,,结合材料，运用《当代国际政治与经济》知识，分析海南自贸港全岛封关为何能为中国经济发展注入新动能、为世界经济开放发展注入新活力。
6. 2026东城二模Q20(3),2026东城二模,Q20,3,YES,7分,source_after_subquestion,NO,,结合材料三，运用《当代国际政治与经济》知识，分析购在中国与投资中国如何协同发力，释放我国独特的开放红利。
7. 2026丰台二模Q20,2026丰台二模,Q20,,YES,,,NO,,结合材料，运用《当代国际政治与经济》知识，阐明中国加快推进自由贸易试验区/自由贸易港建设为世界注入更多确定性的原因。
8. 2026通州期中Q21,2026通州期中,Q21,,YES,,,NO,,结合材料，综合运用所学，阐释我国是如何为中国式现代化建设谱写宏伟篇章的。
1. 2025朝阳二模Q21,2025朝阳二模,Q21,,YES,,,NO,,结合材料，运用《当代国际政治与经济》知识，说明我国为什么要努力开创周边工作新局面。
