"question_id","year","district","exam_stage","question_no","evidence_status","chain_state","真实设问","真实材料核心","主入口","副入口","主材料触发_1","主材料触发_2","主材料触发_3","禁止命中","答案骨架","飞哥想说","最终处理","正文口径"
"CC0019_2024_朝阳_一模_19","2024","朝阳","一模","19","PASS","v12回填题链","结合材料，运用《法律与生活》知识，分析诚信原则对促进社会主义市场经济健康发展的积极作用。","民法典第七条确立诚信原则。镜头一：A公司依约供货，B公司长期拖欠货款，法院判令B公司付清欠款并支付逾期违约金。镜头二：购物中心用“码上诚信”公开商户信用信息，消费者因商家信用、商品质量和售后服务而放心消费。","问法律原则的现实作用","合同诚信履行；经营者诚信经营","B公司收货后长期拖欠货款 → 合同当事人应按约全面履行、遵循诚信原则 → 规范民事主体行为，维护守约方合法权益","法院判令支付欠款和违约金 → 司法可依据诚信原则定分止争 → 维护公平正义和诚信市场秩序","“码上诚信”公开商户信用信息、消费者放心消费 → 经营者依法诚信经营 → 保护消费者合法权益，促进守法诚信经营者发展","只写道德诚信|只写全面依法治国|乱套消费者欺诈和惩罚性赔偿","先写民法典诚信原则是社会主义市场经济中民事活动的重要规则。 / 再用合同拖欠货款说明诚信原则约束合同履行、保护守约方。 / 最后用码上诚信说明经营者诚信经营能保护消费者权益、维护健康市场秩序。","这题不是背“诚信”两个字，是把诚信原则落到合同履行、司法定分止争和消费者放心消费三条线上。","v12回填","42道source-locked/recovered-locked正文题链；不含OPEN_OR_REFERENCE和6道未回填题。"
"CC0025_2024_朝阳_二模_17","2024","朝阳","二模","17","PASS","已写题链","结合材料,说明仲裁委员会作出上述裁决的理由,并分析该典型案例的意义。","平台企业与劳动者签合作协议，但平台派单、签到、奖惩、结算并把运输服务纳入自身业务组成；仲裁支持劳动者确认事实劳动关系。","问仲裁裁决理由与典型意义","制度意义","平台派单 → 平台对劳动过程有管理控制 → 体现人格从属性","签到、奖惩 → 劳动者接受平台管理和考核 → 不是平等合作关系","结算报酬且业务属于平台组成部分 → 劳动者经济上依赖平台、组织上嵌入平台 → 可认定事实劳动关系并保护劳动权益","普通合同成立|消费者欺诈|知识产权","先写不能只看合作协议名称，要看实际用工关系。 / 再从派单、签到、奖惩、结算和业务组成说明三从属性。 / 最后写仲裁认定劳动关系有利于保护新就业形态劳动者合法权益，规范平台用工。","本题一眼看“平台”，但真正按钮是三从属性，不是合同成立。","重写","42道source-locked/recovered-locked正文题链；不含OPEN_OR_REFERENCE和6道未回填题。"
"CC0063_2024_西城_二模_16","2024","西城","二模","16","PASS","已写题链","结合材料，运用《法律与生活》的知识，分析人民法院判决的意义。","16．（8分） 市民甲在某食品科技有限公司开设的网店中购买了30盒“黄芪薏米饼干”，付款516元。签收后，甲发现这些饼干不符合食品安全标准，随后又在两个月内三次购买同样的饼干，总数达200盒。四次总计付款4176元。甲以产品中添加有黄芪粉，违反了有关规定为由，起诉请求经营者退还价款4176元，支付相当于价款十倍的赔偿金41760元。 审理法院认为，某食品科技有限公司违反我国关于食品安全的相关规定，属于生产经营不符合食品安全标准食品的行为，应依法承担责任。市民甲首单购买的30盒…","问判决意义","规则意义","首单购买不合格食品 → 消费者合法权益受损 → 可依法支持赔偿请求","后续明知问题仍扩大购买 → 权利行使超出生活消费需要 → 法院可不支持牟利性扩大赔偿","判决区分首单和后续 → 保护消费者也防止滥用权利 → 维护食品安全和诚信秩序","普通合同成立|平台用工|知识产权","先写经营者销售不合格食品损害消费者权益，首单维权应获支持。 / 再写后续知假大量购买带有牟利性，不能机械支持全部惩罚性赔偿。 / 最后写判决兼顾食品安全保护与诚信行使权利。","消费者题不是三倍赔偿一路到底，要看是不是正常生活消费。","保留","42道source-locked/recovered-locked正文题链；不含OPEN_OR_REFERENCE和6道未回填题。"
"CC0077_2025_东城_一模_19","2025","东城","一模","19","PASS","v12回填题链","阅读材料，完成下表。","三个案例：家装合同逾期后诉讼调解解决；医院与柳某培训协议、服务期未满辞职后申请返还违约金被仲裁驳回；顾氏三兄弟照顾孤寡老人并申请指定遗产管理人，最终获得部分遗产分配。","完成表格 / 一格一链","纠纷解决；劳动权利义务；遗产管理","家装合同逾期进入诉讼程序后法官释法促赔 → 诉讼调解 → 既解法结又解心结，避免损失扩大","医院出资培训、柳某服务期未满辞职又申请返还违约金 → 劳动者权利义务统一、协议有效应守信 → 规范劳动者行为并维护用人单位权益","顾氏三兄弟长期照顾孤寡老人并申请指定遗产管理人 → 事实扶养与遗产管理制度 → 保护财产继承秩序，弘扬友善孝老","把三案都写成法院公正司法|把案件一只写合同违约|把遗产管理写成普通继承口号","案件一填诉讼调解，写低标的争议通过调解化解。 / 案件二写培训协议有效，劳动者应守约，权利义务要统一。 / 案件三写遗产管理制度和事实扶养，落到财产保护与友善孝老。","表格题就是一格一链：空格问什么，只补那一格，不要三案糊成“法治有意义”。","v12回填","42道source-locked/recovered-locked正文题链；不含OPEN_OR_REFERENCE和6道未回填题。"
"CC0084_2025_东城_二模_19","2025","东城","二模","19","PASS","v12回填题链","阅读材料，完成下表。","三个案例：13周岁未成年人被经营者大面积文身，法院判退费并赔偿；自媒体无事实依据贬损某公司并造成负面影响，法院判道歉赔偿；平台预订境外客房后预扣房款，消费者不知情且未入住，法院判退还房款。","完成表格 / 一案一原则","人格权益；消费者权益；格式条款","经营者为13周岁未成年人进行大面积文身 → 违反守法和公序良俗，损害未成年人身心利益 → 退费赔偿并保护未成年人健康成长","自媒体无事实依据贬损企业“无赖”“强盗”等 → 侵害名誉/商誉，违反诚信原则 → 公开道歉、赔偿损失，维护良性竞争秩序","平台用预设服务条款预扣房款，消费者不知情且未入住 → 格式条款排除消费者主要权利、违反公平 → 退还房款并规范平台经营","看到平台就写三从属性|看到企业就写经济经营措施|消费者题只写诚信经营","案件一写未成年人保护和公序良俗。 / 案件二写无事实依据贬损造成商誉损害，承担道歉赔偿责任。 / 案件三写格式条款和消费者知情、公平交易，平台不能用提示不清条款强扣款。","这题三案三个按钮：未成年人、公信商誉、格式条款。别一上来都写“诚信”。","v12回填","42道source-locked/recovered-locked正文题链；不含OPEN_OR_REFERENCE和6道未回填题。"
"CC0143_2025_朝阳_一模_19","2025","朝阳","一模","19","PASS","已写题链","结合材料，运用《法律与生活》知识，说明人民法院支持王某的诉讼请求的理由。","机票代销平台在交易中隐蔽搭售/诱导消费者购买增值服务，消费者无法清楚知悉或有效拒绝；争点是合同成立后是否可撤销及三倍赔偿。","问消费者诉求能否支持及理由","合同效力|撤销","机票代销平台隐蔽搭售 → 经营者未真实充分告知 → 损害知情权和自主选择权","消费者无法清楚知悉或有效拒绝 → 合同成立不等于消费者意思表示真实充分 → 可撤销或退赔","平台行为构成欺诈 → 符合惩罚性赔偿条件 → 法院支持相应诉求","平台用工|三从属性|普通劳动关系","先写平台作为经营者应真实、全面告知服务信息，保障消费者知情权和自主选择权。 / 再写隐蔽搭售使消费者难以清楚知悉和有效拒绝，构成欺诈。 / 最后写消费者请求退赔和惩罚性赔偿有法律依据，法院应予支持。","有平台不等于平台用工；这题是消费者欺诈。","重写","42道source-locked/recovered-locked正文题链；不含OPEN_OR_REFERENCE和6道未回填题。"
"CC0150_2025_朝阳_二模_20","2025","朝阳","二模","20","PASS","已写题链","结合材料,运用《法律与生活》知识,分析上述案例。","20.(10 分)在日常生活中,要把握好权利和义务的关系。 材料一 孙女士和刘先生是同一楼层的邻居,两家入户门相对,相距约2 米。刘先生在自家入户门安装 了具有“智能人脸识别”“180 度超广角”“自动人体侦测”“云存储”等功能的可视门铃摄像头,可通过 手机远程操控。孙女士认为该摄像头可能拍摄到自己及家人的日常出行规律及其他动态信息,要求刘先生 拆除该摄像头,双方由此产生纠纷。 材料二 《中华人民共和国民法典》(节选) 第二百七十一条 业主对建筑物内的住宅、经营性用房等专有部…","问如何保护权利或判决认识","","材料中的具体权利受侵害 → 先叫准权利名 → 才能写责任","侵害行为造成损害 → 按侵权责任判断 → 停止侵害、赔偿、道歉等责任方式","法院结合案情处理 → 法律保护权利也划清行为边界 → 引导依法维权","万能意义价值|平台用工|合同成立","先根据案情锁定具体权利。 / 再把侵害行为和损害结果对应起来。 / 最后写责任方式和依法保护权利的意义。","这类题不能先背知识，先把“哪项权利被怎么侵害”说清楚。","保留","42道source-locked/recovered-locked正文题链；不含OPEN_OR_REFERENCE和6道未回填题。"
"CC0157_2025_朝阳_期末_20","2025","朝阳","期末","20","PASS","v12回填题链","了解案件，分析事实，印证法理，参考示例，完成下表。","案例二：丙公司通过电子地图数据、用户出行数据和实时交通信息，经算法形成“拥堵延时指数”；丁公司用变换IP、伪造浏览器标识等手段抓取数据，并在付费软件中商业化使用。案例三：甲购买旅游门票参加“摇摆桥”，工作人员过度摇晃桥面致甲摔伤住院并构成伤残，甲起诉旅游公司赔偿。","完成裁判要点 / 一案一链","数据不正当竞争；旅游安全保障","丁公司变换IP、伪造浏览器标识抓取“拥堵延时指数”并商业化使用 → 违反反不正当竞争法、损害数据产品权益和市场秩序 → 停止使用、消除影响、赔偿损失","旅游公司工作人员过度摇晃桥面致游客摔伤 → 未尽安全保障义务，行为与损害有因果关系 → 旅游公司承担侵权责任或违约责任并赔偿损失","游客是完全民事行为能力人且参与风险项目 → 自身安全注意义务也进入责任衡量 → 可按过错程度分担责任","把数据产品写成著作权|只写旅游公司有合同|忽略游客自身注意义务","案件二按“不正当手段抓取数据—不正当竞争—停止侵害赔偿”写。 / 案件三按“安全保障义务—过错和因果—侵权/违约责任”写。 / 如果写责任范围，要记得游客自身注意义务可能影响分担。","裁判表别背概念：每个案子都是事实、法律词、责任结果三连。","v12回填","42道source-locked/recovered-locked正文题链；不含OPEN_OR_REFERENCE和6道未回填题。"
"CC0180_2025_海淀_期末_20","2025","海淀","期末","20","PASS","v12回填题链","下表列出了《最高人民法院关于适用〈中华人民共和国民法典〉侵权责任编的解释（一）》部分条款。参考示例，完成下表。","最高人民法院围绕民法典侵权责任编重大争议制定解释。题表要求解释两类规则：缺陷产品造成产品自身损害是否纳入产品责任赔偿范围；禁止饲养的烈性犬等危险动物造成损害时，动物饲养人或管理人如何承担责任。","解释法律规则的意义","无过错侵权责任；消费者保护","缺陷产品造成产品自身损害 → 产品责任也可进入赔偿范围，生产者承担无过错侵权责任 → 保护消费者合法权益","禁止饲养的烈性犬等危险动物致害 → 动物饲养人或管理人承担最严格无过错责任 → 不能用无过错等理由免责减责","最高法解释回应审判争议 → 明确裁判规则和责任边界 → 维护生命财产安全和社会秩序","把烈性犬写成过错推定|只写保护消费者不写责任类型|把解释意义写成全面依法治国","第一格写缺陷产品责任：无过错责任，保护消费者。 / 第二格写禁养危险动物致害：最严格无过错责任，强化饲养人责任。 / 最后收束到司法解释明确责任边界、保障生命财产安全。","侵权责任题先判责任类型。责任类型错了，后面意义写得再漂亮也跑偏。","v12回填","42道source-locked/recovered-locked正文题链；不含OPEN_OR_REFERENCE和6道未回填题。"
"CC0181_2025_海淀_期末_21","2025","海淀","期末","21","PASS","已写题链","结合材料，运用《法律与生活》知识，说明法律规定“竞业限制”并对其加以限制的原因。","21. 阅读材料，完成问题。 “竞业限制”是指用人单位与劳动者之间约定，劳动者在离职后不得到生产同类产品或经营同类产业且有竞争关系的其他用人单位任职，也不得自己生产与原单位有竞争关系的同类产品或经营同类业务。 案例一：李某是A公司自主培养的高级管理人员。在职期间，李某与该公司签订了保密协议和竞业限制协议。两年后，李某离职，次日即入职相同经营范围和业务的B公司，任职相同岗位，负责相同产品生产。该产品生产技术属A公司“不为公众所知悉的技术信息”，A公司将李某诉至法院。法院经审理认…","问裁判","","竞业限制保护商业秘密 → 企业有保护合法权益的需要 → 法律允许合理限制","竞业限制影响劳动者就业 → 限制必须合法、合理、适度 → 不能过度剥夺劳动权利","法律对竞业限制加以限制 → 平衡企业创新利益和劳动者就业权益 → 维护公平竞争和人才流动","平台三从属性（无平台事实时）|消费者|知识产权","先写竞业限制是为了保护用人单位商业秘密和竞争利益。 / 再写竞业限制会影响劳动者就业权，因此必须依法、合理、适度。 / 最后写法律既保护企业创新，也保障劳动者自主择业和人才合理流动。","竞业题核心是平衡，不是单向帮企业。","保留","42道source-locked/recovered-locked正文题链；不含OPEN_OR_REFERENCE和6道未回填题。"
"CC0195_2025_西城_一模_20","2025","西城","一模","20","PASS","v12回填题链","结合材料，综合运用经济和法律的知识，说明上述做法能促进社会公平与经济效率的平衡。","全国总工会、人社部等启动集体协商“集中要约行动”，指导工会与企业开展集体协商、签订集体合同；各级工会把工资调整幅度、加班工资基数、劳动定额标准、工资支付办法等作为协商核心议题。","问做法如何平衡公平与效率","集体协商；劳动权益","工会指导企业开展集体协商并签订集体合同 → 通过法定协商机制表达劳动者诉求 → 保护劳动者合法权益、促进社会公平","工资调整、加班工资、劳动定额、工资支付办法进入协商议题 → 明确劳动报酬和劳动条件 → 减少劳动争议，规范企业用工","企业与劳动者形成稳定协商关系 → 兼顾劳动者积极性和企业正常经营 → 促进效率提升与和谐劳动关系","只写经济效率|只写工会政治作用|脱离劳动法写共同富裕套话","先写集体协商是劳动者依法表达利益诉求的机制。 / 再写工资、加班、劳动定额等议题关系劳动者权益和企业管理。 / 最后落到公平保护劳动者、效率稳定企业生产，两者通过协商机制实现平衡。","综合题也要有法律链。这里的法律按钮是集体协商和集体合同，不是泛泛讲分配。","v12回填","42道source-locked/recovered-locked正文题链；不含OPEN_OR_REFERENCE和6道未回填题。"
"CC0200_2025_西城_二模_18","2025","西城","二模","18","PASS","已写题链","结合材料，运用《法律与生活》的知识，分析人民法院的判决结果。","17 岁小刘背着家长、绕过平台监管打赏多名网络主播，金额高达 45 万余元；家长事先不知情、事后不追认；平台发现异常后采取限制措施，但小刘冒充监护人与平台客服沟通，绕过限制；家长诉请返还打赏款。","问判决结果 / 责任分担理由","多方过错 / 未成年人交易行为效力","17 岁小刘为限制民事行为能力人，大额打赏与其年龄智力不相适应，且监护人未追认 → 民事法律行为效力有问题 → 返还请求有基础","平台审核措施不完善，未尽合理审查义务 → 平台有过错 → 不能把责任全推给未成年人家庭","父母疏于监管，小刘本人通过欺骗方式规避监管 → 监护人和本人也有过错 → 根据公平原则合理分担责任","合同/格式条款|平台用工|知识产权|消费者欺诈|裸写意义价值","先写小刘是限制民事行为能力人，大额打赏未经监护人追认，交易效力有问题。 / 再写平台、监护人、小刘本人均有过错。 / 最后写法院综合各方过错程度，依据公平原则分担责任，既保护未成年人，也规范平台和监护责任。","这题不是合同题，是“未成年人打赏 + 多方过错 + 公平分责”。","重写","42道source-locked/recovered-locked正文题链；不含OPEN_OR_REFERENCE和6道未回填题。"
