"question_id","year","district","exam_stage","question_no","evidence_status","chain_state","真实设问","真实材料核心","主入口","副入口","主材料触发_1","主材料触发_2","主材料触发_3","禁止命中","答案骨架","飞哥想说","最终处理","正文口径"
"CC0206_2025_西城_期末_19","2025","西城","期末","19","PASS","v12回填题链","“唤醒词”亦受法律保护，请运用法律知识分析法院的判决。","M公司推出“小爱同学”智能语音设备后，“小爱同学”作为唤醒词和商品名称已有较高影响。陈某抢先在不同商品类别申请相关商标，并与Y公司在手表、闹钟等商品上使用“小爱同学”商标、发布宣传文章。M公司起诉，法院认定受反不正当竞争法保护，判停止侵权并赔偿。","问判决分析","不正当竞争；商标抢注/混淆","“小爱同学”唤醒词和商品名称已有影响力 → 可受反不正当竞争法保护 → 不是普通流行词任意抢注","陈某抢先大量注册相关商标，并与Y公司在同类商品上使用宣传 → 容易造成混淆并有引人误解宣传 → 构成不正当竞争，违背诚信原则","法院判停止侵权、赔偿损失 → 规制权利滥用和恶意抢注 → 保护科技企业品牌商誉和数字经济秩序","只写商标权归属|只写保护创新|把唤醒词当人格权","先说明“小爱同学”已经形成一定影响，应受反不正当竞争法保护。 / 再结合抢注、使用、宣传说明混淆和虚假宣传。 / 最后写判决制止不正当竞争，保护创新企业商誉，维护数字经济秩序。","看到抢注，不是只背商标法。要看有没有“已有影响+混淆+不诚信竞争”。","v12回填","42道source-locked/recovered-locked正文题链；不含OPEN_OR_REFERENCE和6道未回填题。"
"CC0238_2026_东城_二模_19","2026","东城","二模","19","PASS","已写题链","结合材料，运用《法律与生活》知识，评析乙公司和张某的行为。","19．（8分）法治是最好的营商环境。大健康产业蓬勃发展，需要企业规范深耕。 甲公司开拓新领域，打造“中药＋餐饮＋健康检测”一站式新型养生空间。为加速项目落地，甲公司开启对外招商，锁定乙、丙两家公司作为候选合作伙伴。 乙公司为在竞争中胜出，捏造事实向甲公司项目负责人张某暗示丙公司的管理能力、产品质量低下。张某信以为真，在未经查证的情况下，违规直接与乙公司签订承包合同。后乙公司进场施工，因管理混乱导致项目严重延期。甲公司因此遭受重大经济损失。","问评析 / 谈认识","一主体一链","乙公司行为 → 分析是否构成不正当竞争/商业诋毁/扰乱公平竞争秩序 → 应承担法律责任，依法诚信经营","张某行为 → 分析是否违反劳动纪律、职业道德或相关义务 → 应遵守劳动纪律和诚信要求","法治是最好的营商环境 → 价值只能从前面规则推出 → 不能裸写营商环境","完成裁判理由|万能合同|万能意义|只写企业诚信经营","对乙公司：行为定性 + 法律后果 + 规范经营/公平竞争。 / 对张某：行为定性 + 劳动纪律/职业道德/诚信义务 + 应然要求。 / 价值：法律规制不正当行为，维护公平竞争和营商环境。","评析题最怕一锅炖。本题必须“乙公司一链，张某一链”。","重写","42道source-locked/recovered-locked正文题链；不含OPEN_OR_REFERENCE和6道未回填题。"
"CC0244_2026_东城_期中_18","2026","东城","期中","18","PASS","已写题链","运用《法律与生活》知识，分析本案涉及的法律责任及法律依据。","18. 无人机起飞如何系好“安全带”? 陈某向店主刘某发送邮件：“急需购买A 型号无人机一台。用于重要商业拍摄。”刘某回复：“全新 原装，15000 元。”陈某立即转账。刘某误将一台内部结构轻微损伤（外观无明显痕迹）的同型号展示机 寄出。 陈某收货后在首次使用中，该无人机因上述损伤失控坠毁，砸伤陈某手臂。陈某花费医疗费8000 元，并因错过商业拍摄损失收入5000 元。陈某要求刘某赔偿，双方协商未果。 （1） （2）维权成功需要做好充分准备和策略选择。你认为陈某需要做好哪些工…","问法律认识","","主体关系明确 → 先判断权利义务关系 → 法律责任要有关系基础","具体行为违反义务 → 对应违约或侵权责任 → 不能泛写违法担责","损害或后果出现 → 落到责任方式 → 说明法律依据和行为边界","必修三套话|平台用工|消费者乱套","先确定双方是什么法律关系。 / 再看行为违反了什么义务、侵害了什么权利。 / 最后写应承担的法律责任和依据。","责任题先定关系，再定行为，再定责任。","保留","42道source-locked/recovered-locked正文题链；不含OPEN_OR_REFERENCE和6道未回填题。"
"CC0245_2026_东城_期中_18_2","2026","东城","期中","18","PASS","v12回填题链","维权成功需要做好充分准备和策略选择。你认为陈某需要做好哪些工作？","陈某邮件表示急需购买A型号无人机，刘某回复全新原装15000元，陈某转账；刘某误寄内部结构受损的展示机。陈某首次使用时无人机因损伤失控坠毁，砸伤手臂并造成医疗费和误工损失；双方协商未果。","问维权准备和路径","合同/侵权证据；纠纷解决","双方协商未果 → 不能再只写协商，可选择调解、仲裁或诉讼 → 维权路径要具体且合法","邮件、回复、转账、交付展示机 → 合同和订单证据 → 证明交易存在和刘某交付不符合约定","无人机失控坠毁、手臂受伤、医疗费和误工损失 → 损害事实、因果关系和损失证据 → 为违约责任或侵权责任请求做准备","直接写上诉|对刘某提行政诉讼|只罗列违约事实不归纳证据类型","先选路径：调解、仲裁或诉讼，协商未果后路径要升级。 / 再备证据：合同订单、邮件转账、无人机故障、伤害和损失、因果关系。 / 最后明诉求：可主张违约责任或侵权责任，提出退费、医疗费、误工损失等合理请求。","维权题不是判谁输赢，是告诉当事人怎么准备、走哪条路、拿什么证据。","v12回填","42道source-locked/recovered-locked正文题链；不含OPEN_OR_REFERENCE和6道未回填题。"
"CC0283_2026_朝阳_一模_18","2026","朝阳","一模","18","PASS","v12回填题链","结合材料，运用《法律与生活》知识，谈谈人民法院是如何依法保护知识产权以护航新质生产力发展的。","人民法院以“调、惩、辩”三维实践护航创新：通过第三方调解高效化解生物医药领域专利权归属纠纷；对故意侵害植物新品种权、商业秘密等行为适用惩罚性赔偿；对假借维权实施恶意诉讼、权利滥用的行为快速审结并否定。","问法院如何保护知识产权","多案例意义题；一案一手段","专利权归属纠纷可能拖累科研 → 第三方调解、一揽子化解关联诉讼 → 提高效率、降低诉讼成本，让创新主体回归研发","故意侵害植物新品种权、商业秘密 → 惩罚性赔偿 → 提高侵权成本，保护创新成果和市场秩序","恶意诉讼、权利滥用 → 快速审结并司法谴责 → 规制不诚信诉讼，营造诚实守信的创新生态","只写保护创新|写成必修三公正司法套话|漏掉调惩辩三种手段","按“调、惩、辩”三段写。 / 每段先写法院做了什么，再写保护了什么。 / 最后总收束：保护知识产权、兼顾公共利益，为新质生产力提供稳定法治环境。","多案例意义题：一案一手段，一手段一价值。不要把三案熬成一句“有利于创新”。","v12回填","42道source-locked/recovered-locked正文题链；不含OPEN_OR_REFERENCE和6道未回填题。"
"CC0289_2026_朝阳_二模_18","2026","朝阳","二模","18","PASS","已写题链","结合材料，运用《法律与生活》知识，将以上回答补充完整。从以上三个问答中任选其一，谈谈如何依法保护问答中所涉及到的权利。","三个问答分别涉及：高空抛物、坠物危害人身权益且适用举证责任倒置；安装摄像头可能影响邻居隐私，需要沟通协商、调整拍摄范围或拆除设备；违法构筑物影响通行、通风、采光，涉及相邻不动产权利人合法权益，原告需举证影响。","补问答并任选权利保护","权利救济路径","高空抛物/坠物危害人身 → 生命权、身体权、健康权保护 → 适用举证责任倒置思路","摄像头影响邻居隐私 → 隐私权保护 → 应沟通协商、调整范围或拆除","违法构筑物影响通行通风采光 → 相邻关系权利边界 → 原告应举证并请求拆除","合同成立|平台用工|消费者三倍赔偿|万能意义价值","先把三个问答分别补成具体权利和规则。 / 任选一个时，按权利名、侵害事实、保护路径写。 / 最后说明依法保护权利要既有实体权利也有证据和程序意识。","任选题也不能泛写，选哪个就把哪条链打穿。","重写","42道source-locked/recovered-locked正文题链；不含OPEN_OR_REFERENCE和6道未回填题。"
"CC0340_2026_西城_一模_17","2026","西城","一模","17","PASS","已写题链","结合材料，运用法律相关知识，说明民法典物权编的上述规定如何推动国家绿色发展。","17．（8分）良好生态环境是最公平的公共产品，是最普惠的民生福祉。 【民法典物权编】 第286条： 业主应当遵守法律、法规以及管理规约，相关行为应当符合节约资源、保护生态环境的要求。对于物业服务企业或者其他管理人执行政府依法实施的应急处置措施和其他管理措施，业主应当依法予以配合。 业主大会或者业主委员会，对任意弃置垃圾、排放污染物或者噪声等损害他人合法权益的行为，有权依照法律、法规以及管理规约，请求行为人停止侵害、排除妨碍、消除危险、恢复原状、赔偿损失。 …… 第294条：不…","问规定如何推动绿色发展","","业主遵守规约保护环境 → 物权行使受绿色原则和共同生活规则约束 → 个人权利不能损害公共环境","业委会请求停止侵害 → 民事主体可依法维护共有利益 → 责任方式服务环境保护","恢复原状 → 物权责任落到实际修复 → 推动绿色发展有具体民事路径","知识产权|消费者|平台用工","先写物权编规定民事主体行使物权应兼顾绿色原则和公共利益。 / 再结合业主规约、停止侵害、恢复原状说明规则如何约束行为。 / 最后写这些规定把绿色发展落实到日常民事生活。","绿色发展题要落在物权规则和具体责任，不是喊环保口号。","保留","42道source-locked/recovered-locked正文题链；不含OPEN_OR_REFERENCE和6道未回填题。"
"CC0045_2024_海淀_二模_19","2024","海淀","二模","19","PASS_RECOVERED","已写题链","结合材料，运用《法律与生活》知识，分析本案判决的社会价值。","19．（6 分）遗赠扶养协议纠纷案宣判。 【案情简介】某社区居委会与曹某签订协议，约定由某居委会定时定员结对子照看关心曹某， 每月给予曹某基本生活费，免费看病诊治，逢年过节给予曹某各类生活补助及慰问生活用品等， 养老至寿终；曹某现有的动产和不动产在曹某寿终后，产权移交某居委会。此后，某居委会按照 约定履行扶养义务。曹某去世后，曹某的四个子女要求继承遗产，与该居委会产生争议。该居委 会遂将曹某的四个子女等人诉至法院，请求判令：（1）确认某居委会与曹某签订的协议有效；（2） 曹某…","问判决社会价值","规则意义","居委会长期按协议照料老人 → 遗赠扶养协议体现真实扶养事实 → 协议效力应受尊重","子女争夺遗产 → 不能只凭亲属身份否定合法协议 → 法律保护诚信履约和养老安排","法院确认协议效力 → 维护老年人自主处分权益 → 引导社会力量参与养老服务","普通合同主轴|平台用工|消费者","先写遗赠扶养协议依法有效，扶养人履行义务应受保护。 / 再结合居委会照料老人和子女争议说明判决维护诚信和老人权益。 / 最后写判决有助于鼓励多元养老、弘扬家庭和社会责任。","本题不是传统美德作文，先有协议效力，再谈养老价值。","保留","42道source-locked/recovered-locked正文题链；不含OPEN_OR_REFERENCE和6道未回填题。"
"CC0051_2024_海淀_期中_21_1","2024","海淀","期中","21","PASS_RECOVERED","v12回填题链","运用法治知识，对小海的观点进行评析。","1950年婚姻法确立婚姻自由、一夫一妻、保护妇女儿童权益；其中离婚共同债务不足时规定“由男方清偿”。民法典婚姻家庭编规定离婚时夫妻共同债务应共同偿还，共同财产不足或财产归各自所有的，由双方协议清偿，协议不成由人民法院判决。小海认为1950年规定不合理，民法典规定才符合良法要求。","评析观点","婚姻家庭法律变迁；良法评析","1950年婚姻法废除封建家庭制度、保护妇女儿童 → 法律要符合当时国情和社会实际 → 不能简单否定其历史进步性","“由男方清偿”与现代夫妻平等保护不完全一致 → 良法要随着社会发展回应公平正义要求 → 小海看到问题有合理性","民法典规定夫妻共同债务共同偿还、协议不成由法院判决 → 平等保护夫妻双方合法权益 → 民法典规定更符合新时代良法要求","一句话判“1950年错误”|只写科学立法空话|脱离两则法条谈必修三","先表态：小海观点有合理之处，但不能脱离历史条件全盘否定1950年婚姻法。 / 再比较：1950年规定符合当时废除封建婚姻制度的需要，民法典规定更体现平等保护和权利义务统一。 / 最后落点：良法要从实际出发并随时代发展完善，维护婚姻家庭关系中的公平正义。","评析题别急着站队。先说“片面”，再把两个时代的法条各放回自己的时代。","v12回填","42道source-locked/recovered-locked正文题链；不含OPEN_OR_REFERENCE和6道未回填题。"
"CC0061_2024_西城_一模_18","2024","西城","一模","18","PASS_RECOVERED","已写题链","运用法治知识，谈谈对二审法院向郭某的三个儿子发出《督促履行义务告知书》的认识。","九十岁郭某起诉三子支付赡养费，一审未支持；二审虽未支持抚养费请求，但基于老人精神陪伴需求向三个儿子发出督促履行义务告知书。","问对督促履行义务告知书的认识","家庭赡养制度意义","高龄父母需要陪伴照料 → 成年子女赡养义务不只经济供养 → 还包括生活照料和精神慰藉","三个儿子未充分履责 → 违反法定赡养义务 → 应依法履行家庭责任","法院发出告知书 → 用柔性司法督促履责 → 保护老年人权益并修复家庭关系","合同成立|回避制度主轴|平台用工|消费者","先写成年子女对父母负有赡养义务。 / 再说明赡养包括经济供养、生活照料和精神慰藉，不能只给钱。 / 最后写法院告知书以柔性方式督促履行，有助于保护老人权益和家庭和谐。","赡养题别写成“孝顺”，要先写法定义务。","重写","42道source-locked/recovered-locked正文题链；不含OPEN_OR_REFERENCE和6道未回填题。"
"CC0092_2025_东城_期末_19_1","2025","东城","期末","19","PASS_RECOVERED","v12回填题链","遇到的法律问题：____、____。","社区有446辆电动自行车但只有60个充电接口，居民围绕公共区域设置电池充电柜产生分歧：占用绿地、无集中充电设备、消防安全、通行和采光等。学生提出在公共区域设置“车电分离”的电池充电柜方案，资料卡给出消防规定和民法典共有部分用途改变规定。","识别法律问题","共有部分；相邻权；安全责任","公共区域设置电池充电柜 → 改变共有部分用途或利用共有部分经营 → 需要符合法定程序和业主共同决定规则","电动自行车集中充电 → 消防安全与人身财产安全 → 设施须符合消防规定并防范侵权风险","居民担心绿地、通行、采光受影响 → 业主共有权和相邻权 → 方案不能损害其他居民合法权益","只写社区治理协商|只写政府管理|把充电柜方案直接当合理措施","先写本题要找法律问题，不是直接出治理口号。 / 再从共有部分用途、消防安全、人身财产安全和相邻权中选具体问题。 / 最后说明解决分歧要在合法程序和权利边界内协商。","看到小区公共区域，先想“共有部分+相邻权+安全”，别直接跳到基层治理。","v12回填","42道source-locked/recovered-locked正文题链；不含OPEN_OR_REFERENCE和6道未回填题。"
"CC0229_2026_东城_一模_18","2026","东城","一模","18","PASS_RECOVERED","已写题链","结合材料，运用《法律与生活》知识，谈谈法院是如何以司法之力守护“向新力”的。","18．（8 分）人民法院以司法之力守护“向新力”。 案例一 某科技公司三名创始人，因专利权归属纠纷，陷入长期诉讼，公司发展因此停滞。对此，办 案合议庭没有“一判了之”，而是居中斡旋，弥合分歧。当事人最终达成和解，全身心投入创新创业，实 现了多方共赢。 案例二 甲公司系某水稻植物新品种的权利人。乙公司擅自将甲公司享有植物新品种权的稻种更换包 装后对外销售。经人民法院查明，乙公司侵权行为覆盖范围广。人民法院判令乙公司立即停止侵害，并对 其适用惩罚性赔偿，赔偿甲公司经济损失300 …","问司法如何守护创新 / 知识产权制度意义","多案例意义题","案例一：专利权归属纠纷长期诉讼 → 通过司法裁判/诉调明确权利归属 → 减少纠纷对创新企业发展的拖累","案例二：知识产权侵权与惩罚性赔偿 → 提高侵权成本 → 保护创新成果","案例三：恶意诉讼/权利滥用 → 规制不诚信诉讼 → 维护公平竞争和创新环境","必修三公正司法套话|旧错配经济/产业串页词|只写保护创新","法院通过解决知识产权权属纠纷，稳定创新主体预期。 / 通过惩罚性赔偿提高侵权成本，保护创新成果。 / 通过规制恶意诉讼和权利滥用，维护公平竞争和创新环境。","多案例意义题，一案一法律手段，一手段一价值。","重写","42道source-locked/recovered-locked正文题链；不含OPEN_OR_REFERENCE和6道未回填题。"
"CC0305_2026_海淀_一模_18_3","2026","海淀","一模","18","PASS_RECOVERED_FORMAL_BUT_ASK_TEXT_PARTIAL","已写题链","围绕消费者诉求能否支持，分别判断隐私权侵害与消费者欺诈责任。","服务消费纠纷：消费者在经营者提供的包间内活动具有私密性，商家公开包厢内监控录像片段、网络聊天信息；赵某虚假宣传具有治疗糖尿病并发症等功效、夸大功效诱导消费。","问诉求能否支持","隐私权链 / 消费者欺诈链","包间监控和聊天信息公开 → 隐私权受侵害 → 经营者应承担侵权责任","虚假宣传治疗功效 → 消费者知情权受损 → 构成欺诈或虚假宣传","消费者诉求 → 权利侵害和欺诈事实并存 → 可支持停止侵害、赔偿和惩罚性赔偿等请求","平台用工|普通合同主轴|必修三套话","先分两条链：隐私权侵害链和消费者欺诈链。 / 隐私链写监控、公开信息和侵权责任。 / 消费链写虚假宣传、知情权和惩罚性赔偿条件。","双链题不要混，隐私归隐私，消费欺诈归消费欺诈。","保留","42道source-locked/recovered-locked正文题链；不含OPEN_OR_REFERENCE和6道未回填题。"
