"suite_id","question","book_module","question_type","evidence_source","status","artifact_location","decision_reason","next_action"
"2024海淀一模","18(1)","选必一《当代国际政治与经济》","main","2024海淀一模细则.docx","included","选必一材料-触发-答题点总框架.md#6-便利中外人员往来","细则明确贸易投资便利化、全球资源要素、两种资源两个市场、高水平对外开放","none"
"2024丰台一模","20","选必一《当代国际政治与经济》","main","2024丰台一模细则.docx","included","选必一材料-触发-答题点总框架.md#7-供应链成为国际合作的共赢链","细则明确供应链国际合作、要素流动、资源配置、贸易投资自由化便利化、经济全球化活力","none"
"2026门头沟一模","20","选必一《当代国际政治与经济》","main","2026门头沟一模细则.docx","included","选必一材料-触发-答题点总框架.md#8-海南自贸港封关制度型开放","混合经济题只迁入制度型开放、贸易自由化便利化、两个市场两种资源联动等国际经济链条","none"
"2025丰台一模","20","选必一《当代国际政治与经济》","main","2025丰台一模细则.docx","included","选必一材料-触发-答题点总框架.md#9-外商投资条例全球服务伙伴计划数据出境负面清单通关模式创新","细则明确便利贸易投资、外商投资、服务贸易、开放型经济；剔除纯必修二表述","none"
"2024朝阳期中","20(3)","选必一《当代国际政治与经济》","main","2024.11期中政治朝阳评标docx.docx","included","选必一材料-触发-答题点总框架.md#10-数字贸易博览会数字平台全球数字贸易","评标明确经济全球化、开放型经济、全球投资贸易自由化便利化、两个资源两个市场","none"
"2026东城一模","19(3)","选必一《当代国际政治与经济》","main","2026东城一模细则/19(3).pptx","included","选必一材料-触发-答题点总框架.md#11-未来产业国际科创合作产业链韧性","细则明确高水平对外开放与产业链韧性的关系；剔除纯国内科技产业表述","none"
"2025海淀二模","19","选必一《当代国际政治与经济》","main","2025海淀二模细则.docx","included","选必一材料-触发-答题点总框架.md#12-产业发展题中的国际市场国际资源","细则明确扩大国际市场和推进高水平对外开放；只提取国际经济部分","none"
"2025西城一模","18","选必一《当代国际政治与经济》","main","2025西城一模细则.docx","included","选必一材料-触发-答题点总框架.md#12-产业发展题中的国际市场国际资源","细则明确内外联通、贸易便利化、国内国际两个市场两种资源联动、互利共赢；剔除供给侧改革等必修二内容","none"
"2025丰台二模","20","选必一《当代国际政治与经济》","main","2025丰台二模评标细则/20题.docx","included","选必一材料-触发-答题点总框架.md#1-百年变局地区动荡逆全球化治理赤字; #13-完善全球治理注入中国力量; #22-中国作为最大发展中国家国际政治经济格局重要力量","评标明确全球治理、中国身份、国际组织、联合国、人类命运共同体四角度","none"
"2026通州期末","20","选必一《当代国际政治与经济》","main","2026通州期末细则.pptx","included","选必一材料-触发-答题点总框架.md#1-百年变局地区动荡逆全球化治理赤字; #14-四大全球倡议全球治理倡议","细则明确全球治理倡议、联合国宪章、多边主义、公共产品","none"
"2024朝阳二模","20","选必一《当代国际政治与经济》","main","2024朝阳二模细则.pdf","included","选必一材料-触发-答题点总框架.md#15-气候治理生态治理全球性风险","细则明确气候治理、平等开放合作共享、全球治理、人类命运共同体","none"
"2024丰台二模","19","选必一《当代国际政治与经济》","main","2024丰台二模细则.docx","included","选必一材料-触发-答题点总框架.md#15-气候治理生态治理全球性风险","细则明确中国作为负责任大国参与气候治理、南南合作、区域合作、构建人类命运共同体","none"
"2025东城二模","20","选必一《当代国际政治与经济》","main","2025东城二模细则.pdf","included","选必一材料-触发-答题点总框架.md#2-和平与发展仍是时代主题; #16-同球共济共同应对全球问题","细则明确国际局势、共同利益、人类命运共同体、中国智慧中国方案","none"
"2026顺义一模","20","选必一《当代国际政治与经济》","main","2026顺义一模细则.pptx","included","选必一材料-触发-答题点总框架.md#2-和平与发展仍是时代主题; #5-共同利益是合作基础; #17-中非合作全球南方南南合作","细则明确共同利益、南南合作、国际政治与国际经济取点","none"
"2025丰台期末","20","选必一《当代国际政治与经济》","main","2025丰台期末细则.pptx","included","选必一材料-触发-答题点总框架.md#5-共同利益是合作基础; #17-中非合作全球南方南南合作","细则明确和平与发展、共同利益、平等互利、共商共建共享、新型国际关系、人类命运共同体","none"
"2025东城期末","20","选必一《当代国际政治与经济》","lecture-scoring","2025东城讲评 修改.pdf","included","选必一材料-触发-答题点总框架.md#18-反单边主义贸易保护主义逆全球化","讲评提供贸易保护主义、逆全球化、贸易自由便利等评分方向","none"
"2025石景山一模","17(2)","选必一《当代国际政治与经济》","main","2025石景山一模细则.doc","included","选必一材料-触发-答题点总框架.md#19-北京宣言中国之治与世界共享","旧doc转换成功；细则明确共商共建共享、国际关系民主化、普惠包容经济全球化、真正多边主义、联合国核心体系","none"
"2026石景山一模","20","选必一《当代国际政治与经济》","main","2026石景山一模细则.doc","included","选必一材料-触发-答题点总框架.md#20-亚太合作共同开放包容","旧doc转换成功；细则明确共同利益、开放型区域经济、多边主义、破除贸易壁垒、经济全球化包容发展","none"
"2026朝阳一模","20","选必一《当代国际政治与经济》","main","2026朝阳一模细则.docx","included","选必一材料-触发-答题点总框架.md#3-国际竞争科技竞争产业链供应链竞争; #21-中国为全球发展注入稳定性和正能量","细则明确产业链供应链稳定、中国经验、大国责任、两个市场两种资源、高水平对外开放、贸易投资自由化便利化","none"
"2024顺义二模","19(2)","选必一《当代国际政治与经济》","main","2024顺义思政二模细则.docx","included","选必一材料-触发-答题点总框架.md#3-国际竞争科技竞争产业链供应链竞争","细则明确国际竞争实质、综合国力、国家利益、国际话语权、世界多极化","none"
"2024海淀期中","21(2)","选必一《当代国际政治与经济》","main","2024海淀期中细则.pdf","included","选必一材料-触发-答题点总框架.md#23-中国外交的变与不变","细则明确新中国外交阶段、和平与发展、联合国体系、国家安全和主权独立、外交政策","none"
"2025海淀二模","21","选必一《当代国际政治与经济》","main","2025海淀二模细则.docx","included","选必一材料-触发-答题点总框架.md#22-中国作为最大发展中国家国际政治经济格局重要力量; #30-中国需要联合国联合国需要中国","细则明确联合国地位、多边主义最佳场所、中国开展多边合作平台、中国维护联合国体系","none"
"2024朝阳一模","21","选必一《当代国际政治与经济》","main","2024朝阳一模细则.pptx","included","选必一材料-触发-答题点总框架.md#4-国家安全是最高国家利益","综合经济形势题；评分细则明确要求从政治多极化、经济全球化维度写总体国家安全观、主权安全发展利益、国际分工合作和高水平对外开放；只取选必一部分","none"
"2025门头沟一模","19","选必一《当代国际政治与经济》","main","2025门头沟一模细则.doc转换文本 + 教师版PDF题面/答案对读","included","选必一材料-触发-答题点总框架.md#24-赋能型大国","细则明确第19题运用《当代国际政治与经济》分析中国做赋能型大国的世界意义；包含经济全球化、中国责任、国际公共产品、全球治理和新型国际关系链条","none"
"2025朝阳二模","21","选必一《当代国际政治与经济》","main","2025朝阳二模细则.docx","included","选必一材料-触发-答题点总框架.md#25-周边工作新局面","细则明确运用《当代国际政治与经济》说明开创周边工作新局面；按中国、区域、世界三个主体回填周边外交、区域贸易投资自由化便利化、新型国际关系、国际关系民主化和命运共同体","none"
"2025西城二模","21(2)","选必一《当代国际政治与经济》","main","2025西城二模细则.docx","included","选必一材料-触发-答题点总框架.md#24-赋能型大国","细则明确中国对最不发达国家零关税、开放中国市场、共享发展机遇，落到中国担当、普惠包容经济全球化、开放型世界经济、共同发展和持久和平","none"
"2026丰台一模","19","选必一《当代国际政治与经济》","main","2026丰台一模细则.pptx","included","选必一材料-触发-答题点总框架.md#26-全球可持续发展","细则明确用《当代国际政治与经济》说明中国在全球可持续发展中的大国情怀与担当，采联合国2030议程、多边主义、共商共建共享全球治理观和负责任大国贡献","none"
"2026朝阳期中","17","选必一《当代国际政治与经济》","main","2026朝阳期中细则.docx","included","选必一材料-触发-答题点总框架.md#27-人工智能","细则明确处理自力更生与对外开放、发展与安全、中国发展与世界发展三组关系；只回填国际合作、经济全球化、开放型经济、国家安全和公共产品部分","none"
"2025朝阳期末","21","选必一《当代国际政治与经济》","main","2025朝阳期末讲评/细则文本","included","选必一材料-触发-答题点总框架.md#28-中国特色大国外交","细则明确用《当代国际政治与经济》说明中国特色大国外交如何为中国式现代化营造外部环境，覆盖外交政策、总体国家安全观、世界多极化、联合国体系和经济全球化","none"
"2026延庆一模","21(2)","选必一《当代国际政治与经济》","main","2026延庆一模细则.docx","included","选必一材料-触发-答题点总框架.md#29-绿色能源国际合作","细则明确绿色能源国际合作与全球能源治理，采共同利益、一带一路、经济全球化、共商共建共享全球治理观、新型国际关系和人类命运共同体","none"
"2026房山一模","19","选必一《当代国际政治与经济》","main","2026房山一模细则.docx","included","选必一材料-触发-答题点总框架.md#8-海南自贸港封关制度型开放","混合经济题，细则明确海南自贸港制度型开放、全球资源要素、贸易投资自由化便利化、国际循环、全球分工合作和普惠包容经济全球化；只回填选必一国际经济链","none"
"2026朝阳期末","19","选必一《当代国际政治与经济》","main","2026朝阳期末细则.pdf OCR render page_003","included","选必一材料-触发-答题点总框架.md#8-海南自贸港封关制度型开放","System.Object[]","none"
"2026东城期末","20","选必一《当代国际政治与经济》","main","2026东城期末细则.pptx","included","选必一材料-触发-答题点总框架.md#14-四大全球倡议全球治理倡议","System.Object[]","none"
"2024东城二模","20","选必一《当代国际政治与经济》","main","20小题二模阅卷总结.docx","included","选必一材料-触发-答题点总框架.md#14-四大全球倡议全球治理倡议","三大倡议评分链明确路径+效果+总论，属于当代国际政治与经济硬评分源","none"
"2025顺义一模","20","选必一《当代国际政治与经济》","main","2025顺义一模细则.docx","included","选必一材料-触发-答题点总框架.md#17-中非合作全球南方南南合作","小而美发展合作项目，细则明确正确义利观、共商共建共享、大国担当、开放包容普惠经济全球化和国际关系民主化","none"
"2025东城一模","20","选必一《当代国际政治与经济》","main","2025东城一模细则.pdf","included","选必一材料-触发-答题点总框架.md#5-共同利益是合作基础; #17-中非合作全球南方南南合作","元首外交、自贸协定、一带一路和全球南方；细则明确共同利益、高水平开放、经济全球化优化、全球治理和中国特色大国外交","none"
"2025房山一模","18(2)","选必一《当代国际政治与经济》","main","2025房山一模细则.pdf","included","选必一材料-触发-答题点总框架.md#24-赋能型大国中国以自身发展助力世界现代化","技术共享和国际合作题；细则明确开放型世界经济、经济全球化、联合国宗旨原则和全球治理","none"
"2025延庆一模","20(2)","选必一《当代国际政治与经济》","main","2025延庆一模细则.docx","included","选必一材料-触发-答题点总框架.md#7-供应链成为国际合作的共赢链","全球产供链韧性与稳定、反脱钩断链、共同利益、高水平开放和经济全球化优化方向","none"
"2025海淀期中","16(2)","选必一《当代国际政治与经济》","main","2025海淀期中细则.docx","included","选必一材料-触发-答题点总框架.md#12-产业发展题中的国际市场国际资源","企业出海混合经济题；只取国际市场、两种资源两个市场、经济全球化、国际组织和全球经济治理链","none"
"2025昌平二模","21","选必一《当代国际政治与经济》","main","2025昌平二模细则.pptx","included","选必一材料-触发-答题点总框架.md#9-外商投资条例全球服务伙伴计划数据出境负面清单通关模式创新","稳外资行动方案；细则明确吸引外资、国际营商环境、两种资源两个市场、开放合作平台和全球经济治理话语权","none"
"2025西城期末","20(2)","选必一《当代国际政治与经济》","main","2025西城期末细则.pdf","included","选必一材料-触发-答题点总框架.md#12-产业发展题中的国际市场国际资源","汽车出口和贸易壁垒；细则明确国际规则、国际组织权利、出口市场多元化、走出去和贸易壁垒应对","none"
"2026房山一模","16(1)","选必一《当代国际政治与经济》","main","2026房山一模细则.docx","included","选必一材料-触发-答题点总框架.md#9-外商投资条例全球服务伙伴计划数据出境负面清单通关模式创新","口岸数字化和外贸龙头混合经济题；只取跨境制度成本、贸易自由便利、共建一带一路和高水平开放链","none"
"2026西城一模","20(2)","选必一《当代国际政治与经济》","main","2026西城一模细则.docx","included","选必一材料-触发-答题点总框架.md#7-供应链成为国际合作的共赢链; #20-亚太合作共同开放包容","中国-东盟自贸区3.0；细则明确标准规则降成本、贸易投资自由便利、供应链协同、发展中国家话语权和全球经济治理改革","none"
"2024西城一模","19(6)","选必一《当代国际政治与经济》","main","2024西城一模细则.docx","included","选必一材料-触发-答题点总框架.md#11-未来产业国际科创合作产业链韧性","未来产业国际市场与国际竞争；细则明确两个市场两种资源、技术合作、国家安全、贸易规则话语权和制度型开放","none"
"2024丰台二模","18(3)","选必一《当代国际政治与经济》","main","2024丰台二模细则.docx","included","选必一材料-触发-答题点总框架.md#12-产业发展题中的国际市场国际资源","经济与社会角度混合题；只取对外开放、国内国际双循环、两个市场两种资源、比较优势和对外合作交流部分","none"
"2024西城二模","19","选必一《当代国际政治与经济》","main","2024西城二模细则.docx","included","选必一材料-触发-答题点总框架.md#16-同球共济共同应对全球问题","人类命运共同体和国际秩序题；细则明确利益交汇、全球协作、公正合理国际秩序、国际关系民主化和真正多边主义","none"
