"suite_id","question","book_module","question_type","evidence_source","status","artifact_location","decision_reason","next_action","evidence_fragment","ledger_source_type","matched_file","strict_evidence_status","audit_note","score_terms_found","reference_terms_found","snippet"
"2024海淀一模","18(1)","选必一《当代国际政治与经济》","main","2024海淀一模细则.docx","included","选必一材料-触发-答题点总框架.md#6-便利中外人员往来","细则明确贸易投资便利化、全球资源要素、两种资源两个市场、高水平对外开放","none","2024海淀一模细则.docx","rubric","C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024海淀一模\细则\2024海淀一模细则.docx","rubric-or-scoring-context","Can support hard rubric wording after separating scoring rules from answer prose.","细则|给分|不得分|得分|档|替代|分）","","化先行区、示范区的新图景。在分析与综合的对立统一中，把握各自发展特质，服务协同发展的战略大局，书写新篇章。 【细则】 1、强调分析的重要性 知识层面：综合指导下进行分析/分析是综合的前提（1分） 材料层面：各自的功能定位和特色优势/分别分析了三地特色（1分） 京津冀三省市从协同发展的战略大局出发，抓住主要矛盾，科学精准分析各自的功能定位和特色优势。 2、强调综合的重要性 知识层面：分析基础上进行综合/综合是分析的先导/（1分） 材料层面：共商合作大计，着力推动优势互补/强调整体发展（1分） 京津冀在分析各自优势基础上，整体把握区域差异，共商合作大计，着力推动优势互补，携手绘就中国式现代化先行区、示范区的新图景。 3 、强调辩证思维 知识层面：对立统一/相互结合/相反相成/分析为综合做准备，而综合的结果又指导人们继续对事物进行新的分析（1分） 材料层面：把握各自发展特质，协同发展（1分） 在分析与综合的对立统一中，把握各自发展特质，服务协同发展的战略大局，书写新篇章。 第三问答案17.（3） 政府用法治思维和法治方式履行职责, 打造引领首都新经济新业态发展的中坚力量，激发其创业创新热情。"
"2024丰台一模","20","选必一《当代国际政治与经济》","main","2024丰台一模细则.docx","included","选必一材料-触发-答题点总框架.md#7-供应链成为国际合作的共赢链","细则明确供应链国际合作、要素流动、资源配置、贸易投资自由化便利化、经济全球化活力","none","2024丰台一模细则.docx","rubric","C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024丰台一模\细则\2024丰台一模细则.docx","rubric-or-scoring-context","Can support hard rubric wording after separating scoring rules from answer prose.","评分|细则|标准|每点|每个角度|替代|说明|赋分|分）","参考答案","丰台一模评分细则 2024.3.30 16.结合材料，运用《政治与法治》知识，谈谈新时代“四下基层”如何为社会主义现代化建设注入强劲动力。 参考答案： 中国共产党是中国特色社会主义事业的领导核心，“四下基层”是党坚持群众路线、密切联系群众的重要抓手，能为社会主义现代化建设注入强进动力。通过宣传，使党的路线、方针、政策直达基层，落地生根；党员和干部坚持人民至上，坚持实事求是、求真务实，定人基层，融入百姓，为群众办实事解难题。“四下基层”创新工作机制方法，起干部与群众之间的“连心桥”，既能有效促进党的路线、方针、政策贯彻落实，提高决策质量水平，又能畅通民意诉求通道，直抵民心，推动干部作风转变。 拓展答案： 促进治理能力、治理体系现代化，更好地履行政府职能，建设服务型政府，更好地维护人民群众的权利或利益，提高政府工作的效率，化解社会矛盾、促进社会和谐稳定。 评分标准说明： 共性角度：3分 “四下基层”创新工作机制方法（替代促进治理能力、治理体系现代化）（1分），发挥党的领导核心作用（1分），是党坚持群众路线、密切联系群众的重要抓手（替代贯彻群众观点、群众路线或以人民为中心）（1分），能为社会"
"2026门头沟一模","20","选必一《当代国际政治与经济》","main","2026门头沟一模细则.docx","included","选必一材料-触发-答题点总框架.md#8-海南自贸港封关制度型开放","混合经济题只迁入制度型开放、贸易自由化便利化、两个市场两种资源联动等国际经济链条","none","2026门头沟一模细则.docx","rubric","C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026门头沟一模\细则\2026门头沟一模细则.docx","rubric-or-scoring-context","Can support hard rubric wording after separating scoring rules from answer prose.","细则|标准|给分|阅卷|说明|分）|分)","参考答案|示例","门头沟区2026年高三年级综合练习 思想政治 参考答案 2026.3 一、选择题。共15小题，每小题3分，共计45分。 二、非选择题。共6题，共55分。（考生答案，言之有理，酌情给分） 16．（8分） 从事物是变化发展的，矛盾双方对立统一，辩证否定观，联系的观点，中华优秀传统文化的特点，文化的功能，优秀传统文化的当代价值，文化自信，文化强国，传统文化的创造性转化和创新性发展等角度作答。 示例： 首先，事物是不断变化发展的，要用发展的观点看问题。永定河古渠作为文化载体如今仍在灌溉农田、生态补水，具有服务社会、推动发展的功能。永定河古渠作为中国优秀传统文化源远流长，具有突出的连续性、创新性，在当代依然具有很大价值。 其次，矛盾就是对立统一，要用一分为二的观点看问题，创造条件，化不利为有利。 人们积极申请使永定河古渠成功入选世界灌溉工程遗产名录，使之没有成为“沉睡的文物”，而是“奔流不息的活态遗产”，能够激发民族文化自信，有利于文化强国建设。 再次，坚持辩证否定观。辩证否定是联系的环节发展的环节，实质是扬弃。古渠保留了其核心的灌溉、防洪功能，又增加了生态补水等功能，实现了与时俱进的转型，体现"
"2025丰台一模","20","选必一《当代国际政治与经济》","main","2025丰台一模细则.docx","included","选必一材料-触发-答题点总框架.md#9-外商投资条例全球服务伙伴计划数据出境负面清单通关模式创新","细则明确便利贸易投资、外商投资、服务贸易、开放型经济；剔除纯必修二表述","none","2025丰台一模细则.docx","rubric","C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025丰台一模\细则\2025丰台一模细则.docx","rubric-or-scoring-context","Can support hard rubric wording after separating scoring rules from answer prose.","评分|细则|标准|给分|不得分|得分|档|采意|替代|阅卷|说明|赋分|分）","参考答案|示例","丰台高三一模阅卷细则 2025.3 16.（6分）评分标准 | 可从践行社会主义核心价值观、传承中华优秀传统文化、坚持理想信念等角度作答。 | 参考示例： | 新时代家建设应锚定“根基之点”，坚持弘扬中华优秀传统文化，以中华传统美德中的孝老爱亲、团结和睦、诚信节俭等精神来涵养家风，发挥中华优秀传统文化的当代价值，筑牢家风的文化根基。 | 新时代家风建设应校准“时代之点”，融入爱国、敬业、诚信、友善等社会主义核心价值观，推动家风更具平等、民主、责任意识，丰富家风的时代内涵。 | 新时代家风建设应坚定理想信念，培养家国情怀，以中华民族精神和时代精神涵养家风，以家风促国风，实现家风建设和国家建设同频共振，助力建设中国式现代化、实现中华民族伟大复兴。 16题 评分标准说明： | 可从践行社会主义核心价值观、传承中华优秀传统文化（中华传统美德）、坚持理想信念（坚持马克思主义的指导）、坚持正确的价值观，做出正确的价值判断和价值选择、弘扬以爱国主义为核心民族精神和以改革创新为核心的时代精神、筑牢中华民族共同体意识、坚持习近平文化思想的指导、培养家国情怀等角度作答。知识角度多样，只要言之有理，论述逻辑"
"2024朝阳期中","20(3)","选必一《当代国际政治与经济》","main","2024.11期中政治朝阳评标docx.docx","included","选必一材料-触发-答题点总框架.md#10-数字贸易博览会数字平台全球数字贸易","评标明确经济全球化、开放型经济、全球投资贸易自由化便利化、两个资源两个市场","none","2024.11期中政治朝阳评标docx.docx","marking-report","C:\Users\Administrator\Desktop\2024各区模拟题\2024各区期中\2024朝阳期中\其他材料\2024.11期中政治朝阳评标2.docx","rubric-or-scoring-context","Can support hard rubric wording after separating scoring rules from answer prose.","评分|细则|标准|阅卷|说明|分）","参考答案","20241109高3阅卷总结16题组 范伟光组 2024.11.09 诊断导向：找准问题，对症改进，提高成绩！ 20241109高3阅卷总结17题 组 高捷组 2024.11.09 诊断导向：找准问题，对症改进，提高成绩！ 20241109高3阅卷总结18 任会波组 2024.11.09 诊断导向：找准问题，对症改进，提高成绩！ 20241109高3阅卷总结20（1）题组 李丽莲组 2024.11.09 诊断导向：找准问题，对症改进，提高成绩！ 20241109高3阅卷总结20（2）题组 汤桃玲组 2024.11.09 诊断导向：找准问题，对症改进，提高成绩！ 20241109高3阅卷总结20（3）题组 代超组 2024.11.09 诊断导向：找准问题，对症改进，提高成绩！ 20240708高2阅卷总结22题 赵晋组 2024.07.08 诊断导向：找准问题，对症改进，提高成绩！ 总结汇总人：范伟光 || 本组阅卷人：于静 张文勃 刘丽云 刘欣 郑文婧 阮箫 宋艳艳 || 平均分： 3.33 16.（8分） | 结合材料，运用历史唯物主义的相关知识，谈谈你对改革开放以来中国共产党十次三"
"2026东城一模","19(3)","选必一《当代国际政治与经济》","main","2026东城一模细则/19(3).pptx","included","选必一材料-触发-答题点总框架.md#11-未来产业国际科创合作产业链韧性","细则明确高水平对外开放与产业链韧性的关系；剔除纯国内科技产业表述","none","2026东城一模细则/19(3).pptx","rubric","C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026东城一模\细则\2026东城一模细则\19（3）.pptx","rubric-or-scoring-context","Can support hard rubric wording after separating scoring rules from answer prose.","评分|细则|标准","","[ppt/slides/slide1.xml] 2025-2026B 东城高三政治综合练习（一） 主观题细则 2026.4 [ppt/slides/slide2.xml] 19 （ 3 ） 材料二 北京将前瞻布局 6G ，具身智能等未来产业赛道，力争在 "" 十五五 "" 末建成全球数字经济标杆城市，新兴产业高地和未来产业引领地。北京以 "" 两区 "" 建设 为抓手，推动 制度型开放 ，支持企业参与国际标准制定；举办世界级产业大会，在国际科创枢纽设立联络处。同时，依托智库和大数据平台研判全球产业链趋势，提前布局前沿领域；统筹科技与产业政策资源，支持龙头企业联合产业上下游，科研机构共建研发中心，强链补链，提升 产业链韧性 。 (3) 结合材料二，运用 《 当代国际政治与经济 》 知识，分析在推动未来产业中，北京是如何 统筹高水平对外开放与提升产业链韧性 之间关系的。 (8 分 ) 考查情境： 持续关注的重大议题 考查知识： 单元综合探究 能力要求： 自行建构答题逻辑→注重知识的结构化，增强思维的思辨性和深刻性。 [ppt/slides/slide3.xml] 19 题（ 3 ） 8 分 【评分"
"2025海淀二模","19","选必一《当代国际政治与经济》","main","2025海淀二模细则.docx","included","选必一材料-触发-答题点总框架.md#12-产业发展题中的国际市场国际资源","细则明确扩大国际市场和推进高水平对外开放；只提取国际经济部分","none","2025海淀二模细则.docx","rubric","C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025海淀二模\细则\2025海淀二模细则.docx","rubric-or-scoring-context","Can support hard rubric wording after separating scoring rules from answer prose.","细则|给分|替代|分）|分)","","16题 17题 18题 1.回避 1分 2.被告...包装 1分 3.未经许可使用商标权/侵犯商标权((要和2对应)1分 4.……的材料/或书证、物证、证词类的例子 1分(要合理) 5.老字号 /知名度/无侵权(没有损害原告权益)/被告拥有的在先权利(要和4对应)1分 6.抢注/抢先注册/恶意注册/损害在先权利/用法条32条 1分 7.诚信/公平/守法和公序良俗/公序良俗 1分 8.市场秩序/营商环境/社会主义核心价值观/中华传统美德/公平竞争1分 9. 第一层 获得新知:学习了...法律知识/了解“行使权利有边界” 证据对诉讼得价值/了解法庭审理得内容和流程 第二层 感受公正:程序公正/结果公正/以事实为依据，法律为准绳/体现公正司法 第三层 体会价值:有利于维护老字号企业合法权益/有助于传承中华优秀传统美德/社会主义核心价值观/有助于维护良好市场秩序 备注:以上中三个层次4分，两个层次3分一个层次2分 19题 1、数字化/互联网/模式 1分 节约成本/便利交易/提高华农收入 1分 2、完善基础设施 /物流体系 1分 -扩大国际市场/推进高水平对外开放/落实开放发展理念1分 3、政府"
"2025西城一模","18","选必一《当代国际政治与经济》","main","2025西城一模细则.docx","included","选必一材料-触发-答题点总框架.md#12-产业发展题中的国际市场国际资源","细则明确内外联通、贸易便利化、国内国际两个市场两种资源联动、互利共赢；剔除供给侧改革等必修二内容","none","2025西城一模细则.docx","rubric","C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025西城一模\细则\2025西城一模细则.docx","rubric-or-scoring-context","Can support hard rubric wording after separating scoring rules from answer prose.","细则|标准|给分|替代|说明|分）","","、增强文化自信。 认识具有前进性、上升性，在实践基础上不断发展，“校园诗经角”“设计诗经主题旅游线路”的持续行动，将短期研学成果转化为长期文化浸润和创新实践，进一步深化对中自身文化的理解，不忘本来，并以实际行动自觉弘扬和传承中华优秀传统文化（创造性转化创新性发展），延续民族文化血脉。 【细则】 哲学观点3 分 正确的认识对实践有指导作用/实践是认识指导下人有目的、有意识的活动；（以知导行） 实践决定认识（或来源/动力/标准/目的）；（亲身实践、检验深化知） 认识在实践的基础上不断深化/认识具有前进性上升性;（在实践基础上不断发展知、促进行） 文化分析3分 学习、了解中华优秀传统文化/优秀古典诗词文化/本民族文化等 （知） 深化对本民族文化的理解、增进文化认同 （情） 以实际行动自觉弘扬和传承中华优秀传统文化/促进文化创新/对创造性转化创新性发展 （行） 哲学观点和分析具有内在一致性，逻辑顺畅 1分 哲学原理不恰当，文化分析得当，给相应的分析分 17．（7分）可从追求认识的客观性、运用辩证思维方法、具有创新意识等角度作答。 如：角度1：追求认识的客观性 科学思维追求认识的客观性，要从实际"
"2025丰台二模","20","选必一《当代国际政治与经济》","main","2025丰台二模评标细则/20题.docx","included","选必一材料-触发-答题点总框架.md#1-百年变局地区动荡逆全球化治理赤字; #13-完善全球治理注入中国力量; #22-中国作为最大发展中国家国际政治经济格局重要力量","评标明确全球治理、中国身份、国际组织、联合国、人类命运共同体四角度","none","2025丰台二模评标细则/20题.docx","rubric","C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025丰台二模\细则\2025丰台二模细则\2025丰台二模评标细则\20题.docx","rubric-or-scoring-context","Can support hard rubric wording after separating scoring rules from answer prose.","评分|标准|评标|阅卷|说明|分）|分)","","2025年5月高三二模 20题阅卷评标 || 2025年5月高三二模 20题阅卷评标 || 2025年5月高三二模 20题阅卷评标 || 2025年5月高三二模 20题阅卷评标 || 2025年5月高三二模 20题阅卷评标 || 2025年5月高三二模 20题阅卷评标 || || || 最高分：8 || 均分： || 均分： 题号+设问 || 20题. | 当今世界，全球治理体系与国际秩序变革加速推进。我们愿与各方一道，一以贯之以实际行动为完善全球治理注入中国力量。结合材料，运用《当代国际政治与经济》知识，谈谈你对“为完善全球治理注入中国力量”的理解。 || 20题. | 当今世界，全球治理体系与国际秩序变革加速推进。我们愿与各方一道，一以贯之以实际行动为完善全球治理注入中国力量。结合材料，运用《当代国际政治与经济》知识，谈谈你对“为完善全球治理注入中国力量”的理解。 || 20题. | 当今世界，全球治理体系与国际秩序变革加速推进。我们愿与各方一道，一以贯之以实际行动为完善全球治理注入中国力量。结合材料，运用《当代国际政治与经济》知识，谈谈你对“为完善全球治理注入中国力量”的理解。 "
"2026通州期末","20","选必一《当代国际政治与经济》","main","2026通州期末细则.pptx","included","选必一材料-触发-答题点总框架.md#1-百年变局地区动荡逆全球化治理赤字; #14-四大全球倡议全球治理倡议","细则明确全球治理倡议、联合国宪章、多边主义、公共产品","none","2026通州期末细则.pptx","rubric","C:\Users\Administrator\Desktop\2026各区模拟题\2026各区期末和期中\2026通州期末\细则\2026通州期末细则.pptx","rubric-or-scoring-context","Can support hard rubric wording after separating scoring rules from answer prose.","评分|细则|给分|赋分|分）|分)","","犯相关业主的合法权益。 范某阻碍加装电梯，所以范某侵犯了相关业主的合法权益。 ② 只有公示期间未收到异议，加装电梯才符合要求。 公示期内未收到异议，所以加装电梯符合要求。 （ 2 ） ① 推理正确。 （ 1 分） 该推理为充分条件假言推理，遵循“肯定前件，就能肯定后件”的规则。 （ 1 分） 大前提“如果阻碍加装电梯，就会侵犯相关业主的合法权益”，小前提肯定前件“范某阻碍加装电梯”，结论肯定后件“范某侵犯了相关业主的合法权益”， （ 1 分） 推理结构有效。 ② 推理错误。 （ 1 分） 该推理属于必要条件假言推理，遵循“否定前件必否定后件”“肯定后件必肯定前件”的规则。 （ 1 分） 材料中仅肯定前件“公示期内未收到异议”，就得出肯定后件“加装电梯符合要求”的结论， （ 1 分） 是错误的推理结构。（ 6 分） [ppt/slides/slide13.xml] 第一步该推理正确与否：错误 | 正确（ 1 分） 第二步理由（ 2 分 = 理论 1 分 + 分析材料 1 分） （ 1 ）写出 充分条件假言推理（ 1 分）或者有效式 ：肯定前件式 / 肯前肯后 / 如果肯定了假言判断的前件"
"2024朝阳二模","20","选必一《当代国际政治与经济》","main","2024朝阳二模细则.pdf","included","选必一材料-触发-答题点总框架.md#15-气候治理生态治理全球性风险","细则明确气候治理、平等开放合作共享、全球治理、人类命运共同体","none","2024朝阳二模细则.pdf","rubric","C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024朝阳二模\细则\2024朝阳二模细则.pdf","rubric-or-scoring-context","Can support hard rubric wording after separating scoring rules from answer prose.","评分|细则|标准|给分|每个角度|采意|替代|阅卷|说明|分）","参考答案|答案示例|示例","[PAGE 1] 1 2024 年朝阳二模主观题阅卷总结 （1） 结合材料一，运用《经济与社会》知识，说明加快构建全国一体化算力网的重大意 义。（7 分） 参考答案： （1）有利于更好满足新兴产业和未来产业等各行业的计算需求，推动新质生产力加快发 展，在全球经济竞争中形成新优势。 （2） 有利于做强做优做大数字经济，为数字经济与实体经济深度融合提供强大支持，赋 能各行各业数字化转型升级，推进新型工业化，建设现代化产业体系。 （3） 有利于推动互联网、大数据等企业、产业从东部向西部流动，带动资金、人才、技 术等资源要素向西部流动，促进西部经济高质量发展，推进区域协调发展。 （4） 有利于实现数据资源要素互联互通，提高全国范围内数据资源的配置和利用效率。 评分细则 国际角度1.有利于更好满足新兴产业和未来产业等各行业的计算需求，推动新 质生产力加快发展，在全球经济竞争中形成新优势。（替换：深化供给侧结构性 改革、提高国际竞争力）（1+1 分） 产业角度2.有利于做强做优做大数字经济，为数字经济与实体经济深度融合提 供强大支持，赋能各行各业数字化转型升级，推进新型工业化，建设现代化产 业体系"
"2024丰台二模","19","选必一《当代国际政治与经济》","main","2024丰台二模细则.docx","included","选必一材料-触发-答题点总框架.md#15-气候治理生态治理全球性风险","细则明确中国作为负责任大国参与气候治理、南南合作、区域合作、构建人类命运共同体","none","2024丰台二模细则.docx","rubric","C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024丰台二模\细则\2024丰台二模细则.docx","rubric-or-scoring-context","Can support hard rubric wording after separating scoring rules from answer prose.","评分|标准|给分|每个角度|替代|说明|赋分|分）|分)","参考答案","散与聚合、逆向等） 评分标准说明：基本按照参考的思维逻辑给分，略有变通。 亮明观点片面，1分；替代：不合理、不科学、不准确、错误等，根据后面论述适当给分； 合理性1分，包括：超前思维、科学思维的预测性等 不足之处1-2分，包括：看出了观点实际上为必要条件假言判断，给2分；只从口头语言或从充分条件假言判断去论述，给1分。没有论述不给分； 其他角度论证，最多2分。特别提醒，除了超前思维以外的发散聚合、逆向、联想等创新思维；或者包含综合分析、质量互变的辩证思维；具体问题具体分析、尊重客观规律、一切从实际出发等有道理都可以，（分析+论述=2分） 18(3).经过探究，同学们从《经济与社会》角度，对如何利用“冷资源”撬动“热经济”形成以下共识:_____________________。(8分) 参考答案： 利用“冷资源撬动“热经济”要坚持有效市场与有为政府相结合。充分发挥市场在资源配置中的决定性作用，以需求牵引供给，拉动冰雪产业发展，满足不同群体的消费需求；企业要面向市场，坚持创新发展，加大冰雪产业技术研发投入，提高竞争力。政府结合各地不同的自然禀赋，积极履行经济职能，制定冰雪产业发展规划，推"
"2025东城二模","20","选必一《当代国际政治与经济》","main","2025东城二模细则.pdf","included","选必一材料-触发-答题点总框架.md#2-和平与发展仍是时代主题; #16-同球共济共同应对全球问题","细则明确国际局势、共同利益、人类命运共同体、中国智慧中国方案","none","2025东城二模细则.pdf","rubric","C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025东城二模\细则\2025东城二模细则.pdf","rubric-or-scoring-context","Can support hard rubric wording after separating scoring rules from answer prose.","标准|给分|不得分|得分|替代|说明|赋分|分）","参考答案","分） 构成要件替换：诬陷、捏造、造谣、诋毁、抹黑、不实信息；损害形象、损害该公司声誉； 邬某服务条款案例： ③体现的民法原则（1 分）： 公平原则（1 分） 可替换：诚信原则（1 分） ④典型意义：意义一条2 分，两条3 分： 第一条：维护消费者合法权益 第二条：规范格式条款的使用 如本题消费者权益和格式条款都没提到，提到规范商家经营给1 分。 （二）学生表现和问题 ①龙某为钱某文身案例（2 分）： 学生问题： 1. 把限制民事行为能力人说成：不完全民事行为能力人、部分民事行为能力人、半民事行 为能力人、限制民事权利能力人，不得分。（若说钱某不具备完全民事行为能力，给分了） 2. 用抄表格中已有材料的方式分析案件，如“龙某违反了守法和公序良俗原则、不规范经 营，侵犯了未成年人合法权益” ②杨某自媒体案例（2 分） 学生问题：不能用“侮辱、诽谤”“造成社会评价降低”等词汇提炼杨某做法，完全抄材料： “在没有事实依据的情况下…评价……造成严重负面影响”，不得要件的1 分。 ③体现的民法原则 学生问题： 将1/3 的同学不知道民法原则是什么，在自己编句子。 写自愿原则的很多。（格式条款中排斥"
"2026顺义一模","20","选必一《当代国际政治与经济》","main","2026顺义一模细则.pptx","included","选必一材料-触发-答题点总框架.md#2-和平与发展仍是时代主题; #5-共同利益是合作基础; #17-中非合作全球南方南南合作","细则明确共同利益、南南合作、国际政治与国际经济取点","none","2026顺义一模细则.pptx","rubric","C:\Users\Administrator\Desktop\2026各区模拟题\2026各区一模\2026顺义一模\细则\2026顺义一模细则.pptx","rubric-or-scoring-context","Can support hard rubric wording after separating scoring rules from answer prose.","评分|细则|标准|给分|评标|阅卷|分）","参考答案|示例","[ppt/slides/slide1.xml] 2026 年顺义一模考试题 1 2 3 4 5 B C C A D 6 7 8 9 10 A D A B B 11 12 13 14 15 D B C D C [ppt/slides/slide10.xml] 一、是什么：（ 2 分） “ 势 ” 是事物发展的 趋势和方向，具有客观规律性。 推进中国式现代化建设、实现中华民族伟大复兴进程中的 “ 势 ” 是历史发展的总趋势、时代前进的大方向 。 （一）哲学角度： 1. 客观性—— 2 分 （哲学） 主观能动性和客观规律相结合 / 社会存在和社会意识 / 实践和认识 / 科学思维的 特征 / 超前思维 （话题）充分调查研究，深刻洞察百年变局、民族复兴全局与中国特色社会主义发展大势，了解国情、世情、党情、社情、民情，制定正确的发展战略和规划，为推进中国式现代化建设，实现中华民族伟大复兴提供决策依据和实践遵循。 2. 辩证性—— 2 分 （哲学） 主次矛盾和矛盾主次方面辩关系要坚持两点论和重点论相结合。矛盾对立统一，要全面的、一分为二的看问题。 / 整体和部分、系统优化 / 前进性和曲折性 / "
"2025丰台期末","20","选必一《当代国际政治与经济》","main","2025丰台期末细则.pptx","included","选必一材料-触发-答题点总框架.md#5-共同利益是合作基础; #17-中非合作全球南方南南合作","细则明确和平与发展、共同利益、平等互利、共商共建共享、新型国际关系、人类命运共同体","none","2025丰台期末细则.pptx","rubric","C:\Users\Administrator\Desktop\2025各区模拟题\2025各区期末\2025丰台期末\细则\2025丰台期末细则.pptx","rubric-or-scoring-context","Can support hard rubric wording after separating scoring rules from answer prose.","评分|标准|给分|每点|每个角度|说明|分）","","参与城市建设。 [ppt/slides/slide18.xml] 评分标准说明： 1. 理论层面： 人民性是马克思主义的本质属性 / 人民群众是历史的创造者（ 1 分）可替换：群众观点，如党初心使命等类似表述。 全过程人民民主是社会主义民主政治的本质属性。（ 1 分）（不可替换。） 2. 贯穿主线层面： 以人民为中心的发展思想：“人民城市人民建，人民城市为人民”的理念凸显了以人民为中心的发展思想（ 1 分） 坚持发展为了人民、发展依靠人民、发展成果由人民共享。（ 1 分） 3. 目标层面： 建设人民城市要聚焦人民群众在经济、文化、民生等方面的急难愁盼问题，把人民对美好生活的向往作为奋斗目标。（ 1 分） 这一点要结合材料，提高群众获得感、参与感即可。 4. 途径层面： 人民群众可以通过民主决策、民主协商、民主监督等途径参与城市建设。（ 1 分）这一点要结合材料，体现群众参与即可。 （踩点和踩意相结合，有主谓宾、有结果，学生表达逻辑严谨准确、清晰可得每点满分，只有关键词，或者解释不严谨清晰的得 0 ～ 1 分） [ppt/slides/slide19.xml] 人民性是马克思主义的本质属"
