placement_id,suite,question_no,question_type,family,node,paper_path,rubric_path,paper_anchor_hits,rubric_anchor_hits,choice_option_count,expected_answer,original_answer,answer_match,status,flags,paper_first_misses,rubric_first_misses
P0040,2026东城二模,12,选择题,三段论、性质判断周延与换质位,省略前提：把隐藏的大前提补回来,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026东城二模/试卷/2026北京东城高三二模政治（教师版）.docx,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026东城二模/试卷/2026北京东城高三二模政治（教师版）.docx,5/5,1/1,4,D,D,True,PASS,,,
P0041,2026朝阳一模,17(1)前半,主观题,归纳推理与探求因果联系,不完全归纳推理,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026朝阳一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026朝阳一模/细则/细则.docx,14/18,18/18,,,,,PASS,,有效信息1AI依据多个高频词概括共性一运用不完全归纳推理知识从个别前提推出一般性结论; 有效信息2将铁路元素用到日常用品一运用迁移知识从已有事物功能特征向文创产品迁移的角度分; 有效信息3重构铁路场景塑造文创形象一运用想象知识从加工改造已有表象创造新形象的角度分,
P0042,2024.11朝阳期中,18,主观题,归纳推理与探求因果联系,不完全归纳推理,/Users/wanglifei/Desktop/2024模拟题/2024朝阳期中/试卷/试卷.pdf,/Users/wanglifei/Desktop/2024模拟题/2024朝阳期中/细则/补充材料/2024.11期中政治朝阳评标2.docx,7/7,18/18,,,,,PASS,,,
P0043,2026石景山一模,7,选择题,归纳推理与探求因果联系,不完全归纳推理,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026石景山一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026石景山一模/试卷/试卷.pdf,7/7,1/1,4,C,C,True,PASS,,,
P0044,2026海淀二模,7,选择题,归纳推理与探求因果联系,不完全归纳推理,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026海淀二模/试卷/2026北京海淀高三二模政治（教师版）.docx,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026海淀二模/细则/26海淀高三政治二模讲评.pdf,5/5,2/2,4,A,A,True,PASS,,,
P0045,2025朝阳二模,17,主观题,归纳推理与探求因果联系,不完全归纳推理可靠程度,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025朝阳二模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025朝阳二模/细则/细则.docx,7/7,18/18,,,,,PASS,,,
P0046,2024海淀一模,18(2),主观题,归纳推理与探求因果联系,不完全归纳推理可靠程度,/Users/wanglifei/Desktop/2024模拟题/2024海淀一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2024模拟题/2024海淀一模/细则/细则.docx,15/15,5/5,,,,,PASS,,,
P0047,2026海淀一模,17(2),主观题,归纳推理与探求因果联系,不完全归纳推理可靠程度,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026海淀一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026海淀一模/细则/细则.pdf,8/8,18/18,,,,,PASS,,,
P0048,2025石景山一模,19,主观题,归纳推理与探求因果联系,不完全归纳推理可靠程度,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025石景山一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025石景山一模/试卷/试卷.pdf,8/8,4/4,,,,,PASS,,,
P0049,2024西城二模,18(1),主观题,归纳推理与探求因果联系,科学归纳推理与不完全归纳推理,/Users/wanglifei/Desktop/2024模拟题/西城二模/试卷/试卷.docx,/Users/wanglifei/Desktop/2024模拟题/西城二模/细则/细则.docx,11/11,18/18,,,,,PASS,,,
P0050,2024海淀二模,5,选择题,归纳推理与探求因果联系,探求因果联系中的求异法,/Users/wanglifei/Desktop/2024模拟题/海淀二模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2024模拟题/海淀二模/细则/细则.docx,5/5,2/2,4,A,A,True,PASS,,,
P0051,2024东城二模,17(2),主观题,归纳推理与探求因果联系,科学归纳、求异法与类比推理,/Users/wanglifei/Desktop/2024模拟题/东城二模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/分题细则/阅卷总结/17题/17-2.docx,18/18,18/18,,,,,PASS,,,
P0052,2024.11朝阳期中,18,主观题,类比推理,类比推理,/Users/wanglifei/Desktop/2024模拟题/2024朝阳期中/试卷/试卷.pdf,/Users/wanglifei/Desktop/2024模拟题/2024朝阳期中/细则/补充材料/2024.11期中政治朝阳评标2.docx,7/7,18/18,,,,,PASS,,,
P0053,2026顺义一模,4,选择题,类比推理,类比推理,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026顺义一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026顺义一模/细则/细则.pptx,18/18,0/0,4,A,A,True,PASS,,,
P0054,2024朝阳二模,19(1),主观题,类比推理,类比推理,/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/细则/细则.pdf,13/13,18/18,,,,,PASS,,,
P0055,2026东城二模,18,主观题,类比推理,类比推理,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026东城二模/试卷/2026北京东城高三二模政治（教师版）.docx,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026东城二模/细则/18题阅卷细则(5.9).pdf,3/3,18/18,,,,,PASS,,,
P0056,2026海淀一模,17(1),主观题,概念、定义、外延关系与划分,概念划分规则,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026海淀一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026海淀一模/细则/细则.pdf,8/8,18/18,,,,,PASS,,,
P0057,2026西城一模,19(3),主观题,概念、定义、外延关系与划分,同一律与偷换概念,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026西城一模/试卷/试卷.docx,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026西城一模/细则/细则.docx,13/13,14/14,,,,,PASS,,,
P0058,2026顺义一模,2,选择题,概念、定义、外延关系与划分,概念外延关系错项辨析,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026顺义一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026顺义一模/细则/细则.pptx,7/7,0/0,4,C,C,True,PASS,,,
P0059,2024西城一模,19(2),主观题,概念、定义、外延关系与划分,定义构成与属加种差定义,/Users/wanglifei/Desktop/2024模拟题/西城一模/试卷/试卷.docx,/Users/wanglifei/Desktop/2024模拟题/西城一模/细则/细则.docx,18/18,18/18,,,,,PASS,,,
P0060,2024西城一模,19(3),主观题,概念、定义、外延关系与划分,概念外延中的相容关系与属种关系,/Users/wanglifei/Desktop/2024模拟题/西城一模/试卷/试卷.docx,/Users/wanglifei/Desktop/2024模拟题/西城一模/细则/细则.docx,18/18,18/18,,,,,PASS,,,
P0061,2024石景山一模,7,选择题,概念、定义、外延关系与划分,概念外延关系图示辨析,/Users/wanglifei/Desktop/2024模拟题/石景山一模/试卷/试卷.docx,/Users/wanglifei/Desktop/2024模拟题/石景山一模/试卷/试卷.docx,5/5,2/2,4,B,B,True,PASS,,,
P0062,2026朝阳二模,19(1),主观题,概念、定义、外延关系与划分,定义方法与种差加属概念,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026朝阳二模/试卷/2026北京朝阳高三二模政治（教师版）.docx,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026朝阳二模/细则/202605朝阳高三政治二模阅卷细则(1).docx,16/16,16/16,,,,,PASS,,,
P0063,2026石景山二模,7,选择题,概念、定义、外延关系与划分,同一律与概念确定性,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026石景山二模/试卷/2026北京石景山高三二模政治（教师版）.docx,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026石景山二模/试卷/2026北京石景山高三二模政治（教师版）.docx,5/5,2/2,4,B,B,True,PASS,,,
P0064,2026海淀一模,17(1),主观题,选言推理、联言判断与复合判断,选言判断,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026海淀一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026海淀一模/细则/细则.pdf,8/8,18/18,,,,,PASS,,,
P0065,2026西城一模,19(3),主观题,选言推理、联言判断与复合判断,反对关系与联言判断,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026西城一模/试卷/试卷.docx,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026西城一模/细则/细则.docx,13/13,14/14,,,,,PASS,,,
P0066,2025海淀一模,21(1),主观题,选言推理、联言判断与复合判断,不相容选言推理（有效式）,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025海淀一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025海淀一模/试卷/试卷.pdf,9/9,4/4,,,,,PASS,,,
P0067,2025丰台期末,9,选择题,选言推理、联言判断与复合判断,不相容选言推理无效式辨析,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025丰台期末/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025丰台期末/试卷/试卷.pdf,6/6,0/0,4,D,D,True,PASS,,,
P0068,2024东城一模,8,选择题,选言推理、联言判断与复合判断,复合假言与选言推理链,/Users/wanglifei/Desktop/2024模拟题/2024东城一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2024模拟题/2024东城一模/细则/补充材料/北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治答案(1).pdf,4/4,1/3,4,D,D,True,PASS,,,C2B3A4A5D6D7A8D; B10C11A12B13D14C15C
P0069,2024海淀一模,6,选择题,选言推理、联言判断与复合判断,选言推理与逆向思维复合辨析,/Users/wanglifei/Desktop/2024模拟题/2024海淀一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2024模拟题/2024海淀一模/细则/补充材料/一模政治-答案.docx,7/7,2/2,4,B,B,True,PASS,,,
P0070,2024海淀一模,7,选择题,选言推理、联言判断与复合判断,联言判断类型识别,/Users/wanglifei/Desktop/2024模拟题/2024海淀一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2024模拟题/2024海淀一模/细则/补充材料/一模政治-答案.docx,6/6,2/2,4,C,C,True,PASS,,,
P0071,2024朝阳二模,19(2),主观题,选言推理、联言判断与复合判断,联言判断真值条件,/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/细则/细则.pdf,13/13,18/18,,,,,PASS,,,
P0072,2024顺义二模,6,选择题,选言推理、联言判断与复合判断,复合判断识别与逻辑规则辨析,/Users/wanglifei/Desktop/2024模拟题/顺义思政二模/试卷/试卷.docx,/Users/wanglifei/Desktop/2024模拟题/顺义思政二模/细则/细则.docx,4/5,2/2,4,C,C,True,PASS,,法定继承第一顺位继承人中的子女包括婚生子女非婚生子女养子女和有扶养关系的继子女该观点对概念外延的划分犯了多出子项的逻辑错误,
P0073,2026东城期末,17(2),主观题,真假关系、逻辑规律与关系判断,矛盾律,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026东城期末/试卷/试卷.pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026东城期末/细则/细则.pptx,18/18,18/18,,,,,PASS,,,
P0074,2026东城期末,7,选择题,真假关系、逻辑规律与关系判断,矛盾关系与真假判断,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026东城期末/试卷/试卷.pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026东城期末/试卷/试卷.pdf,10/10,2/2,4,A,A,True,PASS,,,
P0075,2024朝阳一模,6,选择题,真假关系、逻辑规律与关系判断,形式逻辑综合选择题,/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/细则/补充材料/细则.docx,5/5,2/2,4,B,B,True,PASS,,,
P0076,2026朝阳一模,5,选择题,真假关系、逻辑规律与关系判断,关系判断与非传递关系,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026朝阳一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026朝阳一模/试卷/试卷.pdf,18/18,2/2,4,D,D,True,PASS,,,
P0077,2025丰台二模,13,选择题,真假关系、逻辑规律与关系判断,关系判断与非传递关系,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025丰台二模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025丰台二模/试卷/试卷.pdf,6/6,0/1,4,A,A,True,PASS,,,题号1112131415
P0078,2025朝阳期末,19,主观题,真假关系、逻辑规律与关系判断,排中律与两不可错误,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025朝阳期末/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025朝阳期末/细则/细则.pdf,6/6,14/14,,,,,PASS,,,
P0079,2025朝阳期末,19,主观题,真假关系、逻辑规律与关系判断,矛盾律与自相矛盾错误,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025朝阳期末/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025朝阳期末/细则/细则.pdf,6/6,14/14,,,,,PASS,,,
P0080,2024东城一模,6,选择题,真假关系、逻辑规律与关系判断,逻辑规则综合选择,/Users/wanglifei/Desktop/2024模拟题/2024东城一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2024模拟题/2024东城一模/细则/补充材料/北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治答案(1).pdf,6/6,0/0,4,D,D,True,PASS,,,
P0081,2024西城一模,11,选择题,真假关系、逻辑规律与关系判断,枚举概括与同一对象替换,/Users/wanglifei/Desktop/2024模拟题/西城一模/试卷/试卷.docx,/Users/wanglifei/Desktop/2024模拟题/西城一模/细则/细则.docx,1/1,0/0,4,B,B,True,PASS,,,
P0082,2026丰台二模,9,选择题,真假关系、逻辑规律与关系判断,真假话约束推理,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026丰台二模/试卷/2026北京丰台高三二模政治（教师版）.pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026丰台二模/试卷/2026北京丰台高三二模政治（教师版）.pdf,6/6,0/0,4,D,D,True,PASS,,,
P0083,2026顺义二模,18(1),主观题,真假关系、逻辑规律与关系判断,矛盾律与一致性要求,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026顺义二模/试卷/26顺义二模(1).pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026顺义二模/细则/26顺义二模评标.doc,18/18,18/18,,,,,PASS,,,
